exer;reg;lbudg;mpoid_bp;tpf;ftpf;mtpf;imd;fimd;mimd;rimd;rmimd;imt;fimt;mimt;rimt;rmimt;tip;rtdp;rmtdp;dgf;fdgf;mdgf;rdgf;rmdgf;tcf;ftcf;mtcf;chp;fchp;mchp;rchp;rmchp;ace;face;mace;race;rmace;sub;fsub;msub;rsuc;rmsuc;cop;fcop;mcop;rcoo;rmcoo;chf;fchf;mchf;rchf;rmchf;rec;frec;mrec;tri;ftri;mtri;emp;femp;memp;remp;rmemp;sir;fsir;msir;rsir;rmsir;fct;ffct;mfct;rfct;rmfct;tib;ftib;mtib;ded;fded;mded;rded;rmded;rce;frce;mrce;rrce;rmrce;sev;fsev;msev;rsev;rmsev;bfr;fbfr;mbfr;soc;fsoc;msoc;bfi;fbfi;mbfi;res;fres;mres;ebf;febf;mebf;rebf;rmebf;caf;fcaf;mcaf;rcaf;rmcaf;cnr;fcnr;mcnr;rcnr;rmcnr;dba;fdba;mdba;rdbafr;mrdbafr;adb;fadb;madb;radb;rmadb;fdr;ffdr;mfdr;cvaeexor;fcvaeexor;mcvaeexor;cvaer;fcvaer;mcvaer;iferr;fiferr;miferr;tasafbr;ftasafbr;mtasafbr;tasacfer;ftasacfer;mtasacfer;ftip;mtip;strate;erc;ferc;merc;rerc;rmerc;f2rpfr;ff2rpfr;strf2rpfr;f2rcfr;ff2rcfr;strf2rcfr;f1rdba;ff1rbda;strf1rbda;retdr;mretdr
2014;052;REG PAYS-DE-LA-LOIRE;3601113;1271026.0;352.95;390.63;227675.0;63.22;62.18;23.56;18.01;406239.0;112.81;126.42;38.6;36.61;181626.0;17.26;18.71;256484.0;71.22;87.94;24.37;25.47;1010563.0;280.63;336.96;130374.0;36.2;48.51;16.77;17.89;130461.0;36.23;32.33;16.78;11.92;109318.0;30.36;62.53;14.06;23.06;323535.0;89.84;96.63;41.62;35.63;30743.0;8.54;8.75;3.96;3.23;260463.0;72.33;53.67;1081598.0;300.35;244.78;277596.0;77.09;49.06;25.67;20.04;59216.0;16.44;15.5;5.47;6.33;32957.0;9.15;6.62;3.05;2.7;1040202.0;288.86;237.52;207990.0;57.76;36.98;20.0;15.57;151370.0;42.03;26.31;14.55;11.08;331143.0;91.96;86.07;31.83;36.24;-41396.0;-11.5;-7.27;6142.0;1.71;0.79;-35254.0;-9.79;-6.48;295717.0;82.12;60.15;304151.0;84.46;82.78;28.9;23.97;275184.0;76.42;74.1;26.15;21.46;123814.0;34.38;47.79;11.76;13.84;1276741.0;354.54;307.68;0.0;0.0;178861.0;49.67;34.93;16.99;10.12;31665.0;8.79;15.06;160.0;0.04;0.05;198800.0;55.21;52.22;33231.0;9.23;10.23;;;;;;;50.44;64.6;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2013;052;REG PAYS-DE-LA-LOIRE;3571495;1289700.0;361.11;387.67;237156.0;66.4;62.92;23.45;18.09;333892.0;93.49;107.38;30.95;30.87;178610.0;16.55;18.27;267651.0;74.94;91.16;24.81;26.21;990048.0;277.21;328.07;124746.0;34.93;46.94;16.17;17.59;127661.0;35.74;31.92;16.55;11.96;114571.0;32.08;62.71;14.85;23.5;312791.0;87.58;97.14;40.55;36.4;28610.0;8.01;8.44;3.71;3.16;299652.0;83.9;59.59;995792.0;278.82;227.9;246613.0;69.05;36.98;24.77;16.23;39780.0;11.14;15.07;3.99;6.61;25035.0;7.01;6.84;2.51;3.0;1002383.0;280.66;231.35;213230.0;59.7;37.51;21.27;16.21;104728.0;29.32;25.59;10.45;11.06;315277.0;88.28;82.39;31.45;35.61;6591.0;1.85;3.45;14460.0;4.05;1.18;21051.0;5.89;4.64;278601.0;78.01;54.95;333082.0;93.26;87.72;30.87;25.22;307619.0;86.13;81.0;28.51;23.29;202891.0;56.81;55.41;18.8;15.93;1146949.0;321.14;284.52;0.0;0.0;130351.0;36.5;34.86;12.08;10.02;30437.0;8.52;16.96;232.0;0.07;0.06;203027.0;56.85;52.55;33283.0;9.32;10.3;;;;;;;50.01;63.57;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2017;052;REG PAYS-DE-LA-LOIRE;3690659;1529292.0;414.37;447.67;364769.0;98.84;114.51;29.7;29.55;517867.0;140.32;149.24;42.17;38.51;199907.0;16.28;17.29;186131.0;50.43;65.75;15.16;16.97;1258581.0;341.02;389.02;146755.0;39.76;51.05;15.49;16.51;210395.0;57.01;47.7;22.21;15.43;164318.0;44.52;72.28;17.34;23.38;344462.0;93.33;109.44;36.36;35.4;29648.0;8.03;8.04;3.13;2.6;270712.0;73.35;58.65;909821.0;246.52;231.79;155140.0;42.04;32.98;17.05;14.23;56284.0;15.25;27.23;6.19;11.75;20078.0;5.44;6.75;2.21;2.91;911047.0;246.85;241.5;110530.0;29.95;40.0;12.13;16.56;103334.0;28.0;22.59;11.34;9.35;356241.0;96.53;85.52;39.1;35.41;1226.0;0.33;9.71;-2177.0;-0.59;-0.6;-950.0;-0.26;9.11;271662.0;73.61;49.54;303560.0;82.25;83.8;24.72;21.62;280623.0;76.04;78.41;22.85;20.23;177289.0;48.04;55.83;14.44;14.41;1628524.0;441.26;360.05;132.61;92.9;130714.0;35.42;28.8;10.64;7.43;53270.0;14.43;15.09;56.0;0.02;0.09;433936.0;117.58;111.57;33993.0;9.21;10.12;0.0;0.0;0.0;0.0;0.0;0.0;54.17;67.01;Régions de métropole hors Idf et Corse;1617823.0;438.36;357.02;131.73;92.12;1228096.0;332.76;387.56;947473.0;256.72;309.15;1617823.0;438.36;357.02;131.73;92.12
2018;052;REG PAYS-DE-LA-LOIRE;3718512;1644405.0;442.22;478.13;450383.0;121.12;129.28;34.61;31.92;725120.0;195.0;219.59;55.73;54.22;249830.0;19.2;19.55;0.0;0.0;0.0;0.0;0.0;1385514.0;372.6;418.58;153162.0;41.19;52.87;15.01;16.37;273498.0;73.55;58.66;26.8;18.16;148129.0;39.84;68.6;14.51;21.24;363133.0;97.66;114.5;35.58;35.45;30328.0;8.16;8.04;2.97;2.49;258891.0;69.62;59.55;1025433.0;275.76;261.34;171860.0;46.22;34.17;16.76;13.08;129902.0;34.93;37.17;12.67;14.22;18980.0;5.1;6.8;1.85;2.6;1042988.0;280.49;258.25;84808.0;22.81;37.01;8.13;14.33;140238.0;37.71;27.58;13.45;10.68;442553.0;119.01;95.87;42.43;37.12;17555.0;4.72;-3.09;-12135.0;-3.26;-0.78;5420.0;1.46;-3.87;253472.0;68.16;63.42;301863.0;81.18;87.81;23.2;21.68;280588.0;75.46;82.02;21.56;20.25;140350.0;37.74;54.44;10.79;13.44;1660146.0;446.45;367.09;127.59;90.64;167277.0;44.98;33.71;12.86;8.32;42123.0;11.33;20.43;39.0;0.01;0.08;455005.0;122.36;112.91;34279.0;9.22;9.93;0.0;0.0;0.0;0.0;0.0;0.0;67.19;79.17;Régions de métropole hors Idf et Corse;1649445.0;443.58;363.85;126.77;89.84;1301132.0;349.91;405.02;1020543.0;274.45;322.99;1649445.0;443.58;363.85;126.77;89.84
2016;052;REG PAYS-DE-LA-LOIRE;3660852;1369235.0;374.02;400.07;237745.0;64.94;63.96;21.83;18.52;509065.0;139.06;148.25;46.74;42.93;201859.0;18.53;19.55;208747.0;57.02;73.1;19.17;21.17;1094465.0;298.96;348.48;136039.0;37.16;49.73;16.9;18.21;124787.0;34.09;31.99;15.5;11.71;127645.0;34.87;65.06;15.85;23.82;330487.0;90.28;95.98;41.05;35.14;28693.0;7.84;8.33;3.56;3.05;274770.0;75.06;51.59;955324.0;260.96;227.82;225728.0;61.66;40.85;23.63;17.93;63476.0;17.34;15.12;6.64;6.64;18308.0;5.0;6.11;1.92;2.68;959126.0;262.0;230.28;101208.0;27.65;36.73;10.55;15.95;95787.0;26.17;24.52;9.99;10.65;404417.0;110.47;78.66;42.17;34.16;3802.0;1.04;2.46;9029.0;2.47;0.41;12832.0;3.51;2.87;261938.0;71.55;48.72;302704.0;82.69;79.26;27.79;22.95;283924.0;77.56;72.17;26.07;20.9;188137.0;51.39;47.65;17.27;13.8;1576718.0;430.7;351.18;143.79;99.15;122339.0;33.42;30.88;11.23;8.94;46811.0;12.79;16.3;100.0;0.03;0.03;207967.0;56.81;53.99;33906.0;9.26;10.19;0.0;0.0;0.0;0.0;0.0;0.0;55.14;67.51;Régions de métropole hors Idf et Corse;1566017.0;427.77;348.1;5.52;100.81;;;;;;;;;;;
2012;052;REG PAYS-DE-LA-LOIRE;3539048;1244217.0;351.57;383.25;219406.0;62.0;60.37;;;328489.0;92.82;108.21;;;178750.0;;;263138.0;74.35;91.35;;;952401.0;269.11;318.43;120743.0;34.12;46.01;;;142498.0;40.26;30.56;;;110223.0;31.14;65.53;;;305450.0;86.31;93.82;;;26050.0;7.36;8.07;;;291816.0;82.46;64.82;961096.0;271.57;230.91;213759.0;60.4;38.3;;;40983.0;11.58;14.59;;;14663.0;4.14;6.49;;;930405.0;262.9;226.91;179382.0;50.69;40.04;;;127585.0;36.05;24.99;;;279882.0;79.08;74.3;;;-30691.0;-8.67;-4.0;802.0;0.23;1.37;-29889.0;-8.45;-2.63;321705.0;90.9;67.45;;;;;;;;;;;;;;;;1005064.0;283.99;273.45;;;151497.0;42.81;31.81;;;;;;258.0;0.07;0.07;185270.0;52.35;49.68;32725.0;9.25;10.16;;;;;;;50.51;63.38;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2011;052;REG PAYS-DE-LA-LOIRE;3510170;1207453.0;343.99;375.62;216184.0;61.59;59.46;;;321675.0;91.64;106.93;;;182768.0;;;263138.0;74.96;91.82;;;898920.0;256.09;309.64;118319.0;33.71;44.98;;;125416.0;35.73;29.34;;;114065.0;32.5;66.36;;;287519.0;81.91;93.35;;;27282.0;7.77;7.85;;;308533.0;87.9;65.97;819685.0;233.52;227.94;94089.0;26.8;34.2;;;48683.0;13.87;14.81;;;15168.0;4.32;7.28;;;817979.0;233.03;222.17;97584.0;27.8;40.42;;;103068.0;29.36;21.54;;;303003.0;86.32;75.18;;;-1706.0;-0.49;-5.77;3879.0;1.1;0.38;2173.0;0.62;-5.39;306360.0;87.28;71.36;;;;;;;;;;;;;;;;918890.0;261.78;259.54;;;128066.0;36.48;28.17;;;;;;37.0;0.01;0.06;179998.0;51.28;48.31;32293.0;9.2;10.18;;;;;;;52.07;63.15;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2008;052;REG PAYS-DE-LA-LOIRE;3222061;1059766.0;328.91;360.14;224513.0;69.68;83.0;;;308833.0;95.85;101.23;;;181088.0;;;257801.0;80.01;94.21;;;782393.0;242.82;281.34;104423.0;32.41;40.22;;;93931.0;29.15;23.95;;;141463.0;43.9;69.89;;;290338.0;90.11;91.27;;;29905.0;9.28;8.9;;;277374.0;86.09;78.8;910748.0;282.66;242.71;269186.0;83.54;48.73;;;42574.0;13.21;13.71;;;15617.0;4.85;7.31;;;922909.0;286.43;242.06;127699.0;39.63;50.58;;;120691.0;37.46;27.55;;;367020.0;113.91;85.97;;;12161.0;3.77;-0.66;657.0;0.2;0.73;12818.0;3.98;0.07;264556.0;82.11;78.73;;;;;;;;;;;;;;;;795341.0;246.84;219.24;;;146428.0;45.45;35.36;;;;;;;;;;;;;;;;;;;;;56.2;57.57;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2009;052;REG PAYS-DE-LA-LOIRE;3450413;1125589.0;326.22;355.89;246512.0;71.44;86.15;;;312863.0;90.67;99.92;;;182800.0;;;262133.0;75.97;92.4;;;839096.0;243.19;288.89;110638.0;32.07;42.85;;;95495.0;27.68;23.97;;;138730.0;40.21;68.23;;;288764.0;83.69;92.5;;;25824.0;7.48;6.94;;;286494.0;83.03;67.0;1128458.0;327.05;258.6;345314.0;100.08;55.17;;;38670.0;11.21;14.56;;;38732.0;11.23;14.5;;;1124234.0;325.83;250.02;99572.0;28.86;49.08;;;241400.0;69.96;31.75;;;406414.0;117.79;86.74;;;-4224.0;-1.22;-8.58;5449.0;1.58;1.5;1225.0;0.36;-7.08;285269.0;82.68;74.08;;;;;;;;;;;;;;;;899255.0;260.62;232.39;;;264244.0;76.58;38.11;;;;;;;;;;;;;;;;;;;;;52.98;58.82;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2010;052;REG PAYS-DE-LOIRE;3482594;1176734.0;337.89;367.02;258011.0;74.09;88.9;;;309939.0;89.0;99.64;;;180196.0;;;263454.0;75.65;92.38;;;884460.0;253.97;299.55;117925.0;33.86;44.18;;;121853.0;34.99;26.54;;;112645.0;32.35;67.46;;;294798.0;84.65;91.75;;;25748.0;7.39;7.15;;;292274.0;83.92;67.47;854297.0;245.3;227.5;188232.0;54.05;39.18;;;46268.0;13.29;14.82;;;15683.0;4.5;8.18;;;873243.0;250.74;226.1;94803.0;27.22;43.15;;;159618.0;45.83;23.13;;;301383.0;86.54;76.95;;;18946.0;5.44;-1.4;2235.0;0.64;0.1;21181.0;6.08;-1.3;271093.0;77.84;68.77;;;;;;;;;;;;;;;;927869.0;266.43;246.88;;;183579.0;52.71;29.17;;;;;;;;;;;;;;;;;;;;;51.74;58.7;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
