exer;reg;lbudg;mpoid_bp;tpf;ftpf;mtpf;imd;fimd;mimd;rimd;rmimd;imt;fimt;mimt;rimt;rmimt;tip;rtdp;rmtdp;dgf;fdgf;mdgf;rdgf;rmdgf;tcf;ftcf;mtcf;chp;fchp;mchp;rchp;rmchp;ace;face;mace;race;rmace;sub;fsub;msub;rsuc;rmsuc;cop;fcop;mcop;rcoo;rmcoo;chf;fchf;mchf;rchf;rmchf;rec;frec;mrec;tri;ftri;mtri;emp;femp;memp;remp;rmemp;sir;fsir;msir;rsir;rmsir;fct;ffct;mfct;rfct;rmfct;tib;ftib;mtib;ded;fded;mded;rded;rmded;rce;frce;mrce;rrce;rmrce;sev;fsev;msev;rsev;rmsev;bfr;fbfr;mbfr;soc;fsoc;msoc;bfi;fbfi;mbfi;res;fres;mres;ebf;febf;mebf;rebf;rmebf;caf;fcaf;mcaf;rcaf;rmcaf;cnr;fcnr;mcnr;rcnr;rmcnr;dba;fdba;mdba;rdbafr;mrdbafr;adb;fadb;madb;radb;rmadb;fdr;ffdr;mfdr;cvaeexor;fcvaeexor;mcvaeexor;cvaer;fcvaer;mcvaer;iferr;fiferr;miferr;tasafbr;ftasafbr;mtasafbr;tasacfer;ftasacfer;mtasacfer;ftip;mtip;strate;erc;ferc;merc;rerc;rmerc;f2rpfr;ff2rpfr;strf2rpfr;f2rcfr;ff2rcfr;strf2rcfr;f1rdba;ff1rbda;strf1rbda;retdr;mretdr
2014;102;REGION GUYANE;237549;138447.0;582.82;712.83;5392.0;22.7;30.38;6.33;4.71;68282.0;287.44;372.82;56.58;57.76;12.0;0.01;0.0;5165.0;21.74;35.72;4.28;5.53;125476.0;528.21;565.97;24411.0;102.76;133.04;22.67;27.52;25613.0;107.82;74.71;23.78;15.45;40311.0;169.7;146.65;37.43;30.33;8245.0;34.71;60.24;7.66;12.46;4904.0;20.64;13.29;4.55;2.75;12971.0;54.6;146.87;69403.0;292.16;504.9;0.0;0.0;101.33;0.0;20.07;25272.0;106.38;125.92;36.41;24.94;4984.0;20.98;25.09;7.18;4.97;77507.0;326.28;602.97;35801.0;150.71;324.06;46.19;53.74;8551.0;36.0;47.16;11.03;7.82;13600.0;57.25;127.33;17.55;21.12;8104.0;34.12;98.07;0.0;0.0;2.93;8104.0;34.12;101.0;4867.0;20.49;45.86;17691.0;74.47;175.18;14.66;27.14;12971.0;54.6;162.0;10.75;25.1;4419.0;18.6;114.84;3.66;17.79;110595.0;465.57;492.28;0.0;0.0;13455.0;56.64;59.91;11.15;9.28;22471.0;94.6;53.65;0.0;0.0;0.0;4963.0;20.89;27.54;880.0;3.7;5.18;;;;;;;0.05;0.01;Régions d Outre-mer;;;;;;;;;;;;;;;;
2013;102;REGION GUYANE;229040;195896.0;855.29;743.12;5359.0;23.4;29.76;6.27;4.65;66526.0;290.46;354.15;54.84;55.3;0.0;0.0;0.0;5478.0;23.92;38.49;4.52;6.01;170574.0;744.74;603.28;22690.0;99.07;125.91;21.56;25.27;23480.0;102.52;71.71;22.31;14.39;41506.0;181.22;163.69;39.44;32.85;9330.0;40.74;59.83;8.87;12.01;5117.0;22.34;14.43;4.86;2.9;25322.0;110.56;139.84;96176.0;419.91;537.35;0.0;0.0;96.78;0.0;18.01;24266.0;105.95;146.54;25.23;27.27;3526.0;15.39;29.02;3.67;5.4;138084.0;602.88;554.29;31593.0;137.94;214.21;22.88;38.65;8569.0;37.41;82.95;6.21;14.97;20975.0;91.58;140.36;15.19;25.32;41908.0;182.97;16.94;0.0;0.0;0.03;41908.0;182.97;16.96;-16586.0;-72.42;122.88;21102.0;92.13;154.19;17.4;24.07;16072.0;70.17;142.16;13.25;22.2;7503.0;32.76;59.21;6.19;9.24;119146.0;520.2;441.62;0.0;0.0;13686.0;59.75;96.88;11.28;15.13;36194.0;158.03;134.71;0.0;0.0;0.0;4622.0;20.18;27.31;883.0;3.86;5.25;;;;;;;0.0;0.0;Régions d Outre-mer;;;;;;;;;;;;;;;;
2012;102;REGION GUYANE;224469;105119.0;468.3;652.37;5200.0;23.17;28.59;;;62197.0;277.08;341.94;;;0.0;;;5685.0;25.33;38.46;;;99949.0;445.27;515.11;20751.0;92.45;113.93;;;20891.0;93.07;61.45;;;31472.0;140.21;136.12;;;9777.0;43.56;63.24;;;5401.0;24.06;13.83;;;5170.0;23.03;137.26;42946.0;191.32;697.09;4.0;0.02;219.77;;;18185.0;81.02;131.9;;;2284.0;10.17;22.99;;;53543.0;238.53;694.6;22672.0;101.0;212.61;;;9117.0;40.62;186.5;;;13966.0;62.22;126.99;;;10597.0;47.21;-2.49;0.0;0.0;1.24;10597.0;47.21;-1.25;-5427.0;-24.18;138.51;;;;;;;;;;;;;;;;128853.0;574.03;430.49;;;14518.0;64.68;199.83;;;;;;0.0;0.0;0.0;4134.0;18.42;25.78;847.0;3.77;5.08;;;;;;;0.0;0.0;Régions d Outre-mer;;;;;;;;;;;;;;;;
2011;102;REG GUYANE;219266;98987.0;451.45;611.6;5298.0;24.16;30.14;;;66135.0;301.62;348.97;;;0.0;;;5685.0;25.93;38.71;;;82882.0;378.0;480.71;19049.0;86.88;100.86;;;18181.0;82.92;55.16;;;28825.0;131.46;134.12;;;9120.0;41.59;64.85;;;4567.0;20.83;12.54;;;16105.0;73.45;130.89;52786.0;240.74;1111.72;10000.0;45.61;79.53;;;24692.0;112.61;743.76;;;4071.0;18.57;23.06;;;40313.0;183.85;1140.6;15650.0;71.37;214.94;;;8325.0;37.97;90.74;;;14393.0;65.64;129.47;;;-12473.0;-56.89;28.88;3.0;0.02;0.44;-12470.0;-56.87;29.33;28575.0;130.32;101.56;;;;;;;;;;;;;;;;138449.0;631.42;401.17;;;12891.0;58.79;103.22;;;;;;0.0;0.0;0.0;3951.0;18.02;24.1;831.0;3.79;5.01;;;;;;;0.0;0.0;Régions d Outre-mer;;;;;;;;;;;;;;;;
2008;102;REG GUYANE;157213;94866.0;603.42;598.2;7930.0;50.44;44.18;;;56884.0;361.83;378.07;;;0.0;;;4189.0;26.65;38.99;;;59507.0;378.51;381.78;13693.0;87.1;61.93;;;9184.0;58.42;56.52;;;14779.0;94.0;111.28;;;16477.0;104.81;63.09;;;3664.0;23.31;15.54;;;35359.0;224.91;216.42;68358.0;434.81;491.19;10000.0;63.61;6.0;;;15563.0;98.99;98.4;;;5038.0;32.05;47.98;;;55095.0;350.45;516.69;21792.0;138.61;354.27;;;5886.0;37.44;32.49;;;26614.0;169.29;110.81;;;-13263.0;-84.37;25.5;2500.0;15.9;1.71;-10763.0;-68.46;27.21;46122.0;293.37;189.21;;;;;;;;;;;;;;;;86851.0;552.44;446.03;;;9550.0;60.75;47.69;;;;;;;;;;;;;;;;;;;;;0.0;0.0;Régions d Outre-mer;;;;;;;;;;;;;;;;
2009;102;REG GUYANE;205954;93874.0;455.8;566.53;8621.0;41.86;44.41;;;54485.0;264.55;338.01;;;0.0;;;5605.0;27.21;39.04;;;66490.0;322.84;376.45;15936.0;77.38;82.72;;;12503.0;60.71;53.14;;;22469.0;109.1;100.25;;;9777.0;47.47;55.0;;;3625.0;17.6;11.98;;;27384.0;132.96;190.09;103094.0;500.57;634.81;58003.0;281.63;144.43;;;21545.0;104.61;100.36;;;3767.0;18.29;88.97;;;103736.0;503.69;654.71;86195.0;418.51;335.95;;;4886.0;23.73;96.18;;;11631.0;56.47;100.86;;;643.0;3.12;19.89;0.0;0.0;1.23;643.0;3.12;21.12;26741.0;129.84;168.97;;;;;;;;;;;;;;;;139968.0;679.61;420.35;;;8512.0;41.33;107.62;;;;;;;;;;;;;;;;;;;;;0.0;0.0;Régions d Outre-mer;;;;;;;;;;;;;;;;
2010;102;REG GUYANE;213031;96410.0;452.56;586.18;9034.0;42.41;45.68;;;55802.0;261.94;342.63;;;0.0;;;5672.0;26.62;39.03;;;74833.0;351.28;401.89;17254.0;80.99;91.66;;;16708.0;78.43;53.5;;;25940.0;121.77;108.86;;;8027.0;37.68;59.18;;;3689.0;17.32;11.69;;;21577.0;101.29;184.29;75132.0;352.68;549.7;3000.0;14.08;70.08;;;20508.0;96.27;159.98;;;16675.0;78.27;45.88;;;42957.0;201.65;407.92;25107.0;117.85;181.76;;;6195.0;29.08;94.75;;;10306.0;48.38;83.42;;;-32175.0;-151.03;-141.78;0.0;0.0;2.8;-32175.0;-151.03;-138.98;53751.0;252.32;323.26;;;;;;;;;;;;;;;;136773.0;642.04;405.09;;;9884.0;46.4;106.37;;;;;;;;;;;;;;;;;;;;;0.0;0.0;Régions d Outre-mer;;;;;;;;;;;;;;;;
2015;102;REGION GUYANE;239648;136516.0;569.65;728.4;5446.0;22.73;30.89;4.91;4.87;65312.0;272.53;369.36;58.88;58.27;-12.0;-0.01;0.0;4414.0;18.42;31.09;3.98;4.9;139845.0;583.54;609.06;27956.0;116.65;140.19;23.0;27.52;28518.0;119.0;78.74;23.47;15.46;48364.0;201.81;153.96;39.8;30.22;8539.0;35.63;66.06;7.03;12.97;4171.0;17.4;12.03;3.43;2.36;-3329.0;-13.89;119.35;105485.0;440.17;746.65;30306.0;126.46;271.95;28.73;36.42;24697.0;103.06;141.46;23.41;18.95;5679.0;23.7;41.87;5.38;5.61;81280.0;339.16;744.96;23555.0;98.29;392.18;28.98;52.64;8861.0;36.97;67.06;10.9;9.0;24829.0;103.61;176.54;30.55;23.7;-24205.0;-101.0;-1.7;6038.0;25.2;2.29;-18167.0;-75.81;0.59;14838.0;61.92;118.76;-7734.0;-32.27;136.8;-6.97;21.58;-10594.0;-44.21;124.47;-9.55;19.63;-19455.0;-81.18;57.41;-17.54;9.06;132040.0;550.98;641.17;118.0;101.04;13031.0;54.38;78.33;11.75;12.36;10664.0;44.5;15.36;0.0;0.0;0.0;5030.0;20.99;28.73;882.0;3.68;5.19;0.0;0.0;0.0;0.0;0.0;0.0;-0.05;-0.01;Régions d Outre-mer;;;;;;;;;;;;;;;;
