exer;reg;lbudg;mpoid_bp;tpf;ftpf;mtpf;imd;fimd;mimd;rimd;rmimd;imt;fimt;mimt;rimt;rmimt;tip;rtdp;rmtdp;dgf;fdgf;mdgf;rdgf;rmdgf;tcf;ftcf;mtcf;chp;fchp;mchp;rchp;rmchp;ace;face;mace;race;rmace;sub;fsub;msub;rsuc;rmsuc;cop;fcop;mcop;rcoo;rmcoo;chf;fchf;mchf;rchf;rmchf;rec;frec;mrec;tri;ftri;mtri;emp;femp;memp;remp;rmemp;sir;fsir;msir;rsir;rmsir;fct;ffct;mfct;rfct;rmfct;tib;ftib;mtib;ded;fded;mded;rded;rmded;rce;frce;mrce;rrce;rmrce;sev;fsev;msev;rsev;rmsev;bfr;fbfr;mbfr;soc;fsoc;msoc;bfi;fbfi;mbfi;res;fres;mres;ebf;febf;mebf;rebf;rmebf;caf;fcaf;mcaf;rcaf;rmcaf;cnr;fcnr;mcnr;rcnr;rmcnr;dba;fdba;mdba;rdbafr;mrdbafr;adb;fadb;madb;radb;rmadb;fdr;ffdr;mfdr;cvaeexor;fcvaeexor;mcvaeexor;cvaer;fcvaer;mcvaer;iferr;fiferr;miferr;tasafbr;ftasafbr;mtasafbr;tasacfer;ftasacfer;mtasacfer;ftip;mtip;strate;erc;ferc;merc;rerc;rmerc;f2rpfr;ff2rpfr;strf2rpfr;f2rcfr;ff2rcfr;strf2rcfr;f1rdba;ff1rbda;strf1rbda;retdr;mretdr
2014;073;REG MIDI-PYRENEES;2903420;1031247.0;355.18;390.63;191042.0;65.8;62.18;25.88;18.01;311034.0;107.13;126.42;31.36;36.61;156230.0;15.75;18.71;244175.0;84.1;87.94;24.62;25.47;918327.0;316.29;336.96;135344.0;46.62;48.51;19.45;17.89;89131.0;30.7;32.33;12.81;11.92;181556.0;62.53;62.53;26.09;23.06;220910.0;76.09;96.63;31.75;35.63;4904.0;1.69;8.75;0.7;3.23;112919.0;38.89;53.67;643397.0;221.6;244.78;40368.0;13.9;49.06;6.27;20.04;44143.0;15.2;15.5;6.86;6.33;19716.0;6.79;6.62;3.06;2.7;629590.0;216.84;237.52;128015.0;44.09;36.98;20.33;15.57;14439.0;4.97;26.31;2.29;11.08;295750.0;101.86;86.07;46.97;36.24;-13807.0;-4.76;-7.27;-16010.0;-5.51;0.79;-29816.0;-10.27;-6.48;142736.0;49.16;60.15;294742.0;101.52;82.78;29.72;23.97;296022.0;101.96;74.1;29.84;21.46;281582.0;96.98;47.79;28.39;13.84;288997.0;99.54;307.68;0.0;0.0;19072.0;6.57;34.93;1.92;10.12;54456.0;18.76;15.06;183.0;0.06;0.05;163046.0;56.16;52.22;28178.0;9.71;10.23;;;;;;;53.81;64.6;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2013;073;REG MIDI-PYRENEES;2881756;1015771.0;352.48;387.67;182036.0;63.17;62.92;25.36;18.09;264672.0;91.84;107.38;27.1;30.87;156935.0;16.07;18.27;255096.0;88.52;91.16;26.12;26.21;903332.0;313.47;328.07;131148.0;45.51;46.94;18.47;17.59;83362.0;28.93;31.92;11.74;11.96;196900.0;68.33;62.71;27.74;23.5;219822.0;76.28;97.14;30.96;36.4;13204.0;4.58;8.44;1.86;3.16;112439.0;39.02;59.59;642292.0;222.88;227.9;39519.0;13.71;36.98;6.15;16.23;49810.0;17.28;15.07;7.75;6.61;16601.0;5.76;6.84;2.58;3.0;651846.0;226.2;231.35;97964.0;33.99;37.51;15.03;16.21;64384.0;22.34;25.59;9.88;11.06;305190.0;105.9;82.39;46.82;35.61;9554.0;3.32;3.45;-425.0;-0.15;1.18;9130.0;3.17;4.64;103309.0;35.85;54.95;279918.0;97.13;87.72;28.66;25.22;266669.0;92.54;81.0;27.31;23.29;202286.0;70.2;55.41;20.71;15.93;263131.0;91.31;284.52;0.0;0.0;70214.0;24.36;34.86;7.19;10.02;67102.0;23.29;16.96;196.0;0.07;0.06;153273.0;53.19;52.55;27945.0;9.7;10.3;;;;;;;54.46;63.57;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2012;073;REG MIDI-PYRENEES;2862707;1015255.0;354.65;383.25;166065.0;58.01;60.37;;;265110.0;92.61;108.21;;;156153.0;;;258118.0;90.17;91.35;;;861138.0;300.81;318.43;127757.0;44.63;46.01;;;84086.0;29.37;30.56;;;186802.0;65.25;65.53;;;227173.0;79.36;93.82;;;6056.0;2.12;8.07;;;154117.0;53.84;64.82;475610.0;166.14;230.91;896.0;0.31;38.3;;;35265.0;12.32;14.59;;;19627.0;6.86;6.49;;;562496.0;196.49;226.91;70863.0;24.75;40.04;;;42257.0;14.76;24.99;;;256436.0;89.58;74.3;;;86885.0;30.35;-4.0;9853.0;3.44;1.37;96738.0;33.79;-2.63;57379.0;20.04;67.45;;;;;;;;;;;;;;;;288890.0;100.91;273.45;;;48289.0;16.87;31.81;;;;;;189.0;0.07;0.07;137952.0;48.19;49.68;27618.0;9.65;10.16;;;;;;;54.55;63.38;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2011;073;REG MIDI-PYRENEES;2838228;989280.0;348.56;375.62;166770.0;58.76;59.46;;;268046.0;94.44;106.93;;;157514.0;;;258118.0;90.94;91.82;;;825877.0;290.98;309.64;127810.0;45.03;44.98;;;80396.0;28.33;29.34;;;190228.0;67.02;66.36;;;214248.0;75.49;93.35;;;6922.0;2.44;7.85;;;163403.0;57.57;65.97;714587.0;251.77;227.94;42751.0;15.06;34.2;;;51524.0;18.15;14.81;;;30134.0;10.62;7.28;;;561161.0;197.72;222.17;71260.0;25.11;40.42;;;11177.0;3.94;21.54;;;252046.0;88.8;75.18;;;-153427.0;-54.06;-5.77;8936.0;3.15;0.38;-144491.0;-50.91;-5.39;307894.0;108.48;71.36;;;;;;;;;;;;;;;;333132.0;117.37;259.54;;;18070.0;6.37;28.17;;;;;;371.0;0.13;0.06;134863.0;47.52;48.31;27247.0;9.6;10.18;;;;;;;55.5;63.15;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2008;073;REG MIDI-PYRENEES;2551687;932849.0;365.58;360.14;268660.0;105.29;83.0;;;254102.0;99.58;101.23;;;151796.0;;;245376.0;96.16;94.21;;;701521.0;274.92;281.34;112298.0;44.01;40.22;;;62360.0;24.44;23.95;;;204769.0;80.25;69.89;;;191001.0;74.85;91.27;;;5739.0;2.25;8.9;;;231328.0;90.66;78.8;732238.0;286.96;242.71;131351.0;51.48;48.73;;;29404.0;11.52;13.71;;;28258.0;11.07;7.31;;;657797.0;257.79;242.06;213366.0;83.62;50.58;;;6558.0;2.57;27.55;;;223809.0;87.71;85.97;;;-74442.0;-29.17;-0.66;14304.0;5.61;0.73;-60137.0;-23.57;0.07;291465.0;114.22;78.73;;;;;;;;;;;;;;;;224254.0;87.88;219.24;;;11992.0;4.7;35.36;;;;;;;;;;;;;;;;;;;;;59.49;57.57;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2009;073;REG MIDI-PYRENEES;2776822;984433.0;354.52;355.89;304594.0;109.69;86.15;;;269998.0;97.23;99.92;;;159299.0;;;250770.0;90.31;92.4;;;743480.0;267.74;288.89;123134.0;44.34;42.85;;;62676.0;22.57;23.97;;;197757.0;71.22;68.23;;;200409.0;72.17;92.5;;;5776.0;2.08;6.94;;;240953.0;86.77;67.0;670849.0;241.59;258.6;63720.0;22.95;55.17;;;48989.0;17.64;14.56;;;66605.0;23.99;14.5;;;693771.0;249.84;250.02;147313.0;53.05;49.08;;;7355.0;2.65;31.75;;;332299.0;119.67;86.74;;;22922.0;8.25;-8.58;5869.0;2.11;1.5;28791.0;10.37;-7.08;212163.0;76.4;74.08;;;;;;;;;;;;;;;;269715.0;97.13;232.39;;;13128.0;4.73;38.11;;;;;;;;;;;;;;;;;;;;;57.37;58.82;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2010;073;REG MIDI-PYRENEES;2810559;1001410.0;356.3;367.02;314640.0;111.95;88.9;;;270544.0;96.26;99.64;;;159511.0;;;254401.0;90.52;92.38;;;791694.0;281.69;299.55;125504.0;44.65;44.18;;;73926.0;26.3;26.54;;;194404.0;69.17;67.46;;;203107.0;72.27;91.75;;;6062.0;2.16;7.15;;;209716.0;74.62;67.47;678772.0;241.51;227.5;49233.0;17.52;39.18;;;50678.0;18.03;14.82;;;31297.0;11.14;8.18;;;651591.0;231.84;226.1;144859.0;51.54;43.15;;;11950.0;4.25;23.13;;;285252.0;101.49;76.95;;;-27181.0;-9.67;-1.4;2537.0;0.9;0.1;-24644.0;-8.77;-1.3;234360.0;83.39;68.77;;;;;;;;;;;;;;;;303510.0;107.99;246.88;;;17950.0;6.39;29.17;;;;;;;;;;;;;;;;;;;;;56.75;58.7;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2015;073;REG MIDI-PYRENEES;2926592;1157214.0;395.41;397.87;178577.0;61.02;62.78;16.5;18.07;354242.0;121.04;144.56;32.73;41.61;166648.0;15.4;19.47;221441.0;75.67;80.54;20.46;23.18;1074528.0;367.16;347.34;141003.0;48.18;49.46;16.44;17.87;93419.0;31.92;32.38;10.89;11.7;309683.0;105.82;66.84;36.12;24.14;230681.0;78.82;97.49;26.9;35.22;4845.0;1.66;9.03;0.57;3.26;82686.0;28.25;50.54;706198.0;241.3;241.85;60267.0;20.59;49.58;8.53;20.5;78815.0;26.93;16.63;11.16;6.88;26659.0;9.11;6.21;3.78;2.57;641832.0;219.31;231.66;138285.0;47.25;36.98;21.55;15.96;16681.0;5.7;23.79;2.6;10.27;295162.0;100.86;83.31;45.99;35.96;-64366.0;-21.99;-10.19;-4237.0;-1.45;0.36;-68603.0;-23.44;-9.83;151290.0;51.69;60.37;224211.0;76.61;77.11;20.72;22.19;224676.0;76.77;70.59;20.76;20.32;207995.0;71.07;46.8;19.22;13.47;342079.0;116.89;333.52;30.7;93.98;21400.0;7.31;30.74;1.98;8.85;24917.0;8.51;16.96;81.0;0.03;0.04;162359.0;55.48;53.43;27804.0;9.5;10.21;0.0;0.0;0.0;0.0;0.0;0.0;56.94;67.64;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
