exer;reg;lbudg;mpoid_bp;tpf;ftpf;mtpf;imd;fimd;mimd;rimd;rmimd;imt;fimt;mimt;rimt;rmimt;tip;rtdp;rmtdp;dgf;fdgf;mdgf;rdgf;rmdgf;tcf;ftcf;mtcf;chp;fchp;mchp;rchp;rmchp;ace;face;mace;race;rmace;sub;fsub;msub;rsuc;rmsuc;cop;fcop;mcop;rcoo;rmcoo;chf;fchf;mchf;rchf;rmchf;rec;frec;mrec;tri;ftri;mtri;emp;femp;memp;remp;rmemp;sir;fsir;msir;rsir;rmsir;fct;ffct;mfct;rfct;rmfct;tib;ftib;mtib;ded;fded;mded;rded;rmded;rce;frce;mrce;rrce;rmrce;sev;fsev;msev;rsev;rmsev;bfr;fbfr;mbfr;soc;fsoc;msoc;bfi;fbfi;mbfi;res;fres;mres;ebf;febf;mebf;rebf;rmebf;caf;fcaf;mcaf;rcaf;rmcaf;cnr;fcnr;mcnr;rcnr;rmcnr;dba;fdba;mdba;rdbafr;mrdbafr;adb;fadb;madb;radb;rmadb;fdr;ffdr;mfdr;cvaeexor;fcvaeexor;mcvaeexor;cvaer;fcvaer;mcvaer;iferr;fiferr;miferr;tasafbr;ftasafbr;mtasafbr;tasacfer;ftasacfer;mtasacfer;ftip;mtip;strate;erc;ferc;merc;rerc;rmerc;f2rpfr;ff2rpfr;strf2rpfr;f2rcfr;ff2rcfr;strf2rcfr;f1rdba;ff1rbda;strf1rbda;retdr;mretdr
2014;093;REG PROVENCE-ALPES-COTE-D'AZUR;4916069;1937370.0;394.09;390.63;307295.0;62.51;62.18;22.74;18.01;617869.0;125.68;126.42;37.51;36.61;282618.0;17.16;18.71;395476.0;80.45;87.94;24.01;25.47;1773110.0;360.68;336.96;242116.0;49.25;48.51;16.52;17.89;187957.0;38.23;32.33;12.82;11.92;448706.0;91.27;62.53;30.61;23.06;291749.0;59.35;96.63;19.9;35.63;73960.0;15.04;8.75;5.05;3.23;164260.0;33.41;53.67;1471406.0;299.31;244.78;556683.0;113.24;49.06;37.83;20.04;43068.0;8.76;15.5;2.93;6.33;21380.0;4.35;6.62;1.45;2.7;1333396.0;271.23;237.52;141809.0;28.85;36.98;10.64;15.57;272411.0;55.41;26.31;20.43;11.08;412943.0;84.0;86.07;30.97;36.24;-138010.0;-28.07;-7.27;-13717.0;-2.79;0.79;-151727.0;-30.86;-6.48;315987.0;64.28;60.15;339809.0;69.12;82.78;20.63;23.97;181160.0;36.85;74.1;11.0;21.46;-91252.0;-18.56;47.79;-5.54;13.84;2145042.0;436.33;307.68;0.0;0.0;326735.0;66.46;34.93;19.84;10.12;43388.0;8.83;15.06;136.0;0.03;0.05;262187.0;53.33;52.22;45193.0;9.19;10.23;;;;;;;57.49;64.6;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2013;093;REG PROVENCE-ALPES-COTE-D'AZUR;4899155;1934524.0;394.87;387.67;305626.0;62.38;62.92;22.3;18.09;541954.0;110.62;107.38;32.4;30.87;291063.0;17.4;18.27;408961.0;83.48;91.16;24.45;26.21;1601857.0;326.97;328.07;230255.0;47.0;46.94;17.43;17.59;181058.0;36.96;31.92;13.71;11.96;468404.0;95.61;62.71;35.46;23.5;273479.0;55.82;97.14;20.7;36.4;68022.0;13.88;8.44;5.15;3.16;332667.0;67.9;59.59;1080681.0;220.59;227.9;232365.0;47.43;36.98;21.5;16.23;39699.0;8.1;15.07;3.67;6.61;36428.0;7.44;6.84;3.37;3.0;1041541.0;212.6;231.35;146683.0;29.94;37.51;14.08;16.21;179771.0;36.69;25.59;17.26;11.06;333812.0;68.14;82.39;32.05;35.61;-39141.0;-7.99;3.45;-16.0;0.0;1.18;-39157.0;-7.99;4.64;371824.0;75.9;54.95;388999.0;79.4;87.72;23.26;25.22;351563.0;71.76;81.0;21.02;23.29;171793.0;35.07;55.41;10.27;15.93;1820664.0;371.63;284.52;0.0;0.0;230624.0;47.07;34.86;13.79;10.02;47670.0;9.73;16.96;157.0;0.03;0.06;258380.0;52.74;52.55;45374.0;9.26;10.3;;;;;;;59.41;63.57;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2017;093;REG PROVENCE-ALPES-COTE-D'AZUR;4983438;2207729.0;443.01;447.67;519982.0;104.34;114.51;28.28;29.55;754475.0;151.4;149.24;41.03;38.51;316315.0;17.2;17.29;296333.0;59.46;65.75;16.11;16.97;1878389.0;376.93;389.02;260091.0;52.19;51.05;17.44;16.51;233746.0;46.9;47.7;15.67;15.43;255286.0;51.23;72.28;17.12;23.38;554073.0;111.18;109.44;37.15;35.4;80500.0;16.15;8.04;5.4;2.6;329340.0;66.09;58.65;1320945.0;265.07;231.79;284651.0;57.12;32.98;21.55;14.23;61553.0;12.35;27.23;4.66;11.75;29402.0;5.9;6.75;2.23;2.91;1315717.0;264.02;241.5;304978.0;61.2;40.0;23.18;16.56;147266.0;29.55;22.59;11.19;9.35;287062.0;57.6;85.52;21.82;35.41;-5228.0;-1.05;9.71;-1438.0;-0.29;-0.6;-6665.0;-1.34;9.11;336005.0;67.42;49.54;377471.0;75.75;83.8;20.53;21.62;347440.0;69.72;78.41;18.89;20.23;200174.0;40.17;55.83;10.89;14.41;2620606.0;525.86;360.05;142.51;92.9;199694.0;40.07;28.8;10.86;7.43;131401.0;26.37;15.09;203.0;0.04;0.09;564002.0;113.18;111.57;45389.0;9.11;10.12;0.0;0.0;0.0;0.0;0.0;0.0;63.47;67.01;Régions de métropole hors Idf et Corse;2620604.0;525.86;357.02;142.51;92.12;1838895.0;369.0;387.56;1491455.0;299.28;309.15;2620604.0;525.86;357.02;142.51;92.12
2018;093;REG PROVENCE-ALPES-COTE-D'AZUR;5007977;2340068.0;467.27;478.13;590328.0;117.88;129.28;29.94;31.92;1055604.0;210.78;219.59;53.53;54.22;368864.0;18.71;19.55;0.0;0.0;0.0;0.0;0.0;1972853.0;393.94;418.58;267881.0;53.49;52.87;17.23;16.37;244616.0;48.85;58.66;15.73;18.16;330287.0;65.95;68.6;21.24;21.24;539567.0;107.74;114.5;34.69;35.45;87013.0;17.37;8.04;5.6;2.49;367215.0;73.33;59.55;1231295.0;245.87;261.34;195305.0;39.0;34.17;15.86;13.08;84190.0;16.81;37.17;6.84;14.22;51923.0;10.37;6.8;4.22;2.6;1195137.0;238.65;258.25;186968.0;37.33;37.01;15.64;14.33;166124.0;33.17;27.58;13.9;10.68;334577.0;66.81;95.87;27.99;37.12;-36158.0;-7.22;-3.09;-1044.0;-0.21;-0.78;-37202.0;-7.43;-3.87;404417.0;80.75;63.42;454584.0;90.77;87.81;23.05;21.68;416748.0;83.22;82.02;21.13;20.25;250624.0;50.04;54.44;12.71;13.44;2664554.0;532.06;367.09;135.12;90.64;220903.0;44.11;33.71;11.2;8.32;213927.0;42.72;20.43;187.0;0.04;0.08;580453.0;115.91;112.91;44540.0;8.89;9.93;0.0;0.0;0.0;0.0;0.0;0.0;73.66;79.17;Régions de métropole hors Idf et Corse;2664471.0;532.05;363.85;135.12;89.84;1971936.0;393.76;405.02;1555188.0;310.54;322.99;2664471.0;532.05;363.85;135.12;89.84
2016;093;REG PROVENCE-ALPES-COTE-D'AZUR;4953675;2010597.0;405.88;400.07;316873.0;63.97;63.96;19.23;18.52;733230.0;148.02;148.25;44.49;42.93;306792.0;18.62;19.55;329605.0;66.54;73.1;20.0;21.17;1675128.0;338.16;348.48;250907.0;50.65;49.73;19.25;18.21;210440.0;42.48;31.99;16.15;11.71;386428.0;78.01;65.06;29.65;23.82;269676.0;54.44;95.98;20.69;35.14;76549.0;15.45;8.33;5.87;3.05;335469.0;67.72;51.59;921718.0;186.07;227.82;200254.0;40.43;40.85;21.73;17.93;38261.0;7.72;15.12;4.15;6.64;21288.0;4.3;6.11;2.31;2.68;1036861.0;209.31;230.28;167849.0;33.88;36.73;16.19;15.95;158589.0;32.01;24.52;15.3;10.65;317696.0;64.13;78.66;30.64;34.16;115144.0;23.24;2.46;-11694.0;-2.36;0.41;103449.0;20.88;2.87;232019.0;46.84;48.72;384186.0;77.56;79.26;23.31;22.95;344689.0;69.58;72.17;20.92;20.9;186100.0;37.57;47.65;11.29;13.8;2468535.0;498.32;351.18;149.79;99.15;210861.0;42.57;30.88;12.8;8.94;126244.0;25.48;16.3;96.0;0.02;0.03;271381.0;54.78;53.99;45572.0;9.2;10.19;0.0;0.0;0.0;0.0;0.0;0.0;61.93;67.51;Régions de métropole hors Idf et Corse;2468534.0;498.32;348.1;7.16;100.81;;;;;;;;;;;
2012;093;REG PROVENCE-ALPES-COTE-D'AZUR;4889053;1926382.0;394.02;383.25;289654.0;59.25;60.37;;;546212.0;111.72;108.21;;;284536.0;;;408961.0;83.65;91.35;;;1550992.0;317.24;318.43;221404.0;45.29;46.01;;;164775.0;33.7;30.56;;;478242.0;97.82;65.53;;;271021.0;55.43;93.82;;;62985.0;12.88;8.07;;;375389.0;76.78;64.82;1387230.0;283.74;230.91;282503.0;57.78;38.3;;;46668.0;9.55;14.59;;;37407.0;7.65;6.49;;;1370107.0;280.24;226.91;209975.0;42.95;40.04;;;223128.0;45.64;24.99;;;320511.0;65.56;74.3;;;-17123.0;-3.5;-4.0;20.0;0.0;1.37;-17103.0;-3.5;-2.63;392493.0;80.28;67.45;;;;;;;;;;;;;;;;1768074.0;361.64;273.45;;;274347.0;56.11;31.81;;;;;;169.0;0.03;0.07;240120.0;49.11;49.68;44859.0;9.18;10.16;;;;;;;58.2;63.38;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2011;093;REG PROVENCE-ALPES-COTE-D'AZUR;4882913;1875831.0;384.16;375.62;285239.0;58.42;59.46;;;540965.0;110.79;106.93;;;264531.0;;;408961.0;83.75;91.82;;;1495143.0;306.2;309.64;205751.0;42.14;44.98;;;141503.0;28.98;29.34;;;484776.0;99.28;66.36;;;291175.0;59.63;93.35;;;67419.0;13.81;7.85;;;380688.0;77.96;65.97;1187670.0;243.23;227.94;229283.0;46.96;34.2;;;35024.0;7.17;14.81;;;40633.0;8.32;7.28;;;1138563.0;233.17;222.17;214741.0;43.98;40.42;;;172090.0;35.24;21.54;;;280823.0;57.51;75.18;;;-49107.0;-10.06;-5.77;-221.0;-0.05;0.38;-49328.0;-10.1;-5.39;430016.0;88.07;71.36;;;;;;;;;;;;;;;;1708698.0;349.93;259.54;;;222811.0;45.63;28.17;;;;;;180.0;0.04;0.06;230582.0;47.22;48.31;45255.0;9.27;10.18;;;;;;;54.17;63.15;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2008;093;REG PROVENCE-ALPES-COTE-D'AZUR;4506151;1626511.0;360.95;360.14;368221.0;81.72;83.0;;;449046.0;99.65;101.23;;;203266.0;;;400668.0;88.92;94.21;;;1317974.0;292.48;281.34;170051.0;37.74;40.22;;;128575.0;28.53;23.95;;;492935.0;109.39;69.89;;;197963.0;43.93;91.27;;;75143.0;16.68;8.9;;;308537.0;68.47;78.8;1368272.0;303.65;242.71;419412.0;93.08;48.73;;;35415.0;7.86;13.71;;;39289.0;8.72;7.31;;;1366948.0;303.35;242.06;142135.0;31.54;50.58;;;333681.0;74.05;27.55;;;349029.0;77.46;85.97;;;-1324.0;-0.29;-0.66;888.0;0.2;0.73;-436.0;-0.1;0.07;308973.0;68.57;78.73;;;;;;;;;;;;;;;;1491064.0;330.9;219.24;;;400856.0;88.96;35.36;;;;;;;;;;;;;;;;;;;;;45.11;57.57;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2009;093;REG PROVENCE-ALPES-COTE-D'AZUR;4815232;1727054.0;358.66;355.89;397359.0;82.52;86.15;;;462547.0;96.06;99.92;;;240634.0;;;407399.0;84.61;92.4;;;1387942.0;288.24;288.89;187305.0;38.9;42.85;;;128897.0;26.77;23.97;;;428540.0;89.0;68.23;;;279347.0;58.01;92.5;;;57728.0;11.99;6.94;;;339111.0;70.42;67.0;1951870.0;405.35;258.6;632323.0;131.32;55.17;;;37347.0;7.76;14.56;;;62265.0;12.93;14.5;;;1927376.0;400.27;250.02;244888.0;50.86;49.08;;;502150.0;104.28;31.75;;;304882.0;63.32;86.74;;;-24494.0;-5.09;-8.58;653.0;0.14;1.5;-23841.0;-4.95;-7.08;362952.0;75.38;74.08;;;;;;;;;;;;;;;;1621237.0;336.69;232.39;;;558854.0;116.06;38.11;;;;;;;;;;;;;;;;;;;;;49.97;58.82;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2010;093;REG PROVENCE-ALPES-COTE-D'AZUR;4864015;1832316.0;376.71;367.02;418317.0;86.0;88.9;;;478918.0;98.46;99.64;;;243734.0;;;409452.0;84.18;92.38;;;1437958.0;295.63;299.55;193843.0;39.85;44.18;;;131457.0;27.03;26.54;;;474986.0;97.65;67.46;;;270100.0;55.53;91.75;;;64881.0;13.34;7.15;;;394358.0;81.08;67.47;1496781.0;307.73;227.5;292327.0;60.1;39.18;;;56971.0;11.71;14.82;;;44173.0;9.08;8.18;;;1523062.0;313.13;226.1;232183.0;47.73;43.15;;;262067.0;53.88;23.13;;;285256.0;58.65;76.95;;;26281.0;5.4;-1.4;-11095.0;-2.28;0.1;15185.0;3.12;-1.3;379173.0;77.95;68.77;;;;;;;;;;;;;;;;1651497.0;339.53;246.88;;;309975.0;63.73;29.17;;;;;;;;;;;;;;;;;;;;;50.11;58.7;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
