exer;reg;lbudg;mpoid_bp;tpf;ftpf;mtpf;imd;fimd;mimd;rimd;rmimd;imt;fimt;mimt;rimt;rmimt;tip;rtdp;rmtdp;dgf;fdgf;mdgf;rdgf;rmdgf;tcf;ftcf;mtcf;chp;fchp;mchp;rchp;rmchp;ace;face;mace;race;rmace;sub;fsub;msub;rsuc;rmsuc;cop;fcop;mcop;rcoo;rmcoo;chf;fchf;mchf;rchf;rmchf;rec;frec;mrec;tri;ftri;mtri;emp;femp;memp;remp;rmemp;sir;fsir;msir;rsir;rmsir;fct;ffct;mfct;rfct;rmfct;tib;ftib;mtib;ded;fded;mded;rded;rmded;rce;frce;mrce;rrce;rmrce;sev;fsev;msev;rsev;rmsev;bfr;fbfr;mbfr;soc;fsoc;msoc;bfi;fbfi;mbfi;res;fres;mres;ebf;febf;mebf;rebf;rmebf;caf;fcaf;mcaf;rcaf;rmcaf;cnr;fcnr;mcnr;rcnr;rmcnr;dba;fdba;mdba;rdbafr;mrdbafr;adb;fadb;madb;radb;rmadb;fdr;ffdr;mfdr;cvaeexor;fcvaeexor;mcvaeexor;cvaer;fcvaer;mcvaer;iferr;fiferr;miferr;tasafbr;ftasafbr;mtasafbr;tasacfer;ftasacfer;mtasacfer;ftip;mtip;strate;erc;ferc;merc;rerc;rmerc;f2rpfr;ff2rpfr;strf2rpfr;f2rcfr;ff2rcfr;strf2rcfr;f1rdba;ff1rbda;strf1rbda;retdr;mretdr
2014;072;REG AQUITAINE;3254233;1274248.0;391.57;390.63;193690.0;59.52;62.18;22.54;18.01;396863.0;121.95;126.42;37.23;36.61;209755.0;19.68;18.71;257509.0;79.13;87.94;24.16;25.47;986524.0;303.15;336.96;144873.0;44.52;48.51;19.74;17.89;77848.0;23.92;32.33;10.61;11.92;162822.0;50.03;62.53;22.18;23.06;278033.0;85.44;96.63;37.88;35.63;16539.0;5.08;8.75;2.25;3.23;287723.0;88.42;53.67;1228858.0;377.62;244.78;248222.0;76.28;49.06;20.2;20.04;49572.0;15.23;15.5;4.03;6.33;26429.0;8.12;6.62;2.15;2.7;1196721.0;367.74;237.52;157897.0;48.52;36.98;13.19;15.57;122320.0;37.59;26.31;10.22;11.08;359408.0;110.44;86.07;30.03;36.24;-32137.0;-9.88;-7.27;13380.0;4.11;0.79;-18757.0;-5.76;-6.48;306480.0;94.18;60.15;330814.0;101.66;82.78;31.03;23.97;331922.0;102.0;74.1;31.14;21.46;209602.0;64.41;47.79;19.66;13.84;684555.0;210.36;307.68;0.0;0.0;214638.0;65.96;34.93;20.14;10.12;51164.0;15.72;15.06;152.0;0.05;0.05;163048.0;50.1;52.22;30514.0;9.38;10.23;;;;;;;64.46;64.6;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2013;072;REG AQUITAINE;3232352;1264729.0;391.27;387.67;194624.0;60.21;62.92;22.52;18.09;345802.0;106.98;107.38;32.28;30.87;211491.0;19.75;18.27;268503.0;83.07;91.16;25.07;26.21;966345.0;298.96;328.07;139395.0;43.12;46.94;18.75;17.59;83125.0;25.72;31.92;11.18;11.96;162366.0;50.23;62.71;21.84;23.5;288714.0;89.32;97.14;38.83;36.4;14011.0;4.33;8.44;1.88;3.16;298385.0;92.31;59.59;1235650.0;382.28;227.9;252529.0;78.13;36.98;20.44;16.23;50349.0;15.58;15.07;4.07;6.61;24678.0;7.63;6.84;2.0;3.0;1200350.0;371.36;231.35;161264.0;49.89;37.51;13.43;16.21;151945.0;47.01;25.59;12.66;11.06;329375.0;101.9;82.39;27.44;35.61;-35299.0;-10.92;3.45;19599.0;6.06;1.18;-15701.0;-4.86;4.64;314085.0;97.17;54.95;332875.0;102.98;87.72;31.08;25.22;327597.0;101.35;81.0;30.59;23.29;175652.0;54.34;55.41;16.4;15.93;558653.0;172.83;284.52;0.0;0.0;289098.0;89.44;34.86;26.99;10.02;44231.0;13.68;16.96;167.0;0.05;0.06;163212.0;50.49;52.55;30333.0;9.38;10.3;;;;;;;65.43;63.57;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2012;072;REG AQUITAINE;3206137;1235928.0;385.49;383.25;184262.0;57.47;60.37;;;341897.0;106.64;108.21;;;208152.0;;;271002.0;84.53;91.35;;;924921.0;288.48;318.43;136607.0;42.61;46.01;;;82117.0;25.61;30.56;;;155757.0;48.58;65.53;;;279764.0;87.26;93.82;;;11183.0;3.49;8.07;;;311007.0;97.0;64.82;1027911.0;320.61;230.91;158900.0;49.56;38.3;;;51329.0;16.01;14.59;;;20421.0;6.37;6.49;;;968884.0;302.2;226.91;162888.0;50.81;40.04;;;70179.0;21.89;24.99;;;309731.0;96.61;74.3;;;-59028.0;-18.41;-4.0;36697.0;11.45;1.37;-22331.0;-6.97;-2.63;333338.0;103.97;67.45;;;;;;;;;;;;;;;;458069.0;142.87;273.45;;;81183.0;25.32;31.81;;;;;;256.0;0.08;0.07;151242.0;47.17;49.68;30347.0;9.47;10.16;;;;;;;64.92;63.38;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2011;072;REG AQUITAINE;3177625;1212757.0;381.66;375.62;179808.0;56.59;59.46;;;345745.0;108.81;106.93;;;207575.0;;;271002.0;85.28;91.82;;;883121.0;277.92;309.64;134369.0;42.29;44.98;;;83998.0;26.43;29.34;;;151790.0;47.77;66.36;;;271744.0;85.52;93.35;;;8343.0;2.63;7.85;;;329636.0;103.74;65.97;917711.0;288.8;227.94;106000.0;33.36;34.2;;;58499.0;18.41;14.81;;;22548.0;7.1;7.28;;;927090.0;291.76;222.17;163017.0;51.3;40.42;;;42719.0;13.44;21.54;;;327629.0;103.1;75.18;;;9379.0;2.95;-5.77;21451.0;6.75;0.38;30829.0;9.7;-5.39;298807.0;94.03;71.36;;;;;;;;;;;;;;;;369348.0;116.23;259.54;;;50812.0;15.99;28.17;;;;;;18.0;0.01;0.06;147252.0;46.34;48.31;29820.0;9.38;10.18;;;;;;;65.32;63.15;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2008;072;REG AQUITAINE;2908359;1034645.0;355.75;360.14;249423.0;85.76;83.0;;;281369.0;96.75;101.23;;;162908.0;;;222089.0;76.36;94.21;;;679494.0;233.63;281.34;108126.0;37.18;40.22;;;48857.0;16.8;23.95;;;135309.0;46.52;69.89;;;240625.0;82.74;91.27;;;9761.0;3.36;8.9;;;355151.0;122.11;78.8;760612.0;261.53;242.71;10000.0;3.44;48.73;;;40584.0;13.95;13.71;;;24534.0;8.44;7.31;;;739432.0;254.24;242.06;153828.0;52.89;50.58;;;41133.0;14.14;27.55;;;233152.0;80.17;85.97;;;-21180.0;-7.28;-0.66;5057.0;1.74;0.73;-16123.0;-5.54;0.07;371274.0;127.66;78.73;;;;;;;;;;;;;;;;275490.0;94.72;219.24;;;50139.0;17.24;35.36;;;;;;;;;;;;;;;;;;;;;56.01;57.57;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2009;072;REG AQUITAINE;3119778;1104173.0;353.93;355.89;271192.0;86.93;86.15;;;299904.0;96.13;99.92;;;180442.0;;;265011.0;84.95;92.4;;;788563.0;252.76;288.89;125477.0;40.22;42.85;;;60917.0;19.53;23.97;;;151578.0;48.59;68.23;;;270771.0;86.79;92.5;;;6128.0;1.96;6.94;;;315610.0;101.16;67.0;854235.0;273.81;258.6;55000.0;17.63;55.17;;;50295.0;16.12;14.56;;;41375.0;13.26;14.5;;;850736.0;272.69;250.02;169497.0;54.33;49.08;;;45976.0;14.74;31.75;;;279264.0;89.51;86.74;;;-3498.0;-1.12;-8.58;6020.0;1.93;1.5;2522.0;0.81;-7.08;313088.0;100.36;74.08;;;;;;;;;;;;;;;;284515.0;91.2;232.39;;;52036.0;16.68;38.11;;;;;;;;;;;;;;;;;;;;;57.84;58.82;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2010;072;REG AQUITAINE;3150890;1135626.0;360.41;367.02;281595.0;89.37;88.9;;;297692.0;94.48;99.64;;;178992.0;;;268032.0;85.07;92.38;;;825973.0;262.14;299.55;129606.0;41.13;44.18;;;71264.0;22.62;26.54;;;143315.0;45.48;67.46;;;263965.0;83.77;91.75;;;6530.0;2.07;7.15;;;309653.0;98.27;67.47;840434.0;266.73;227.5;65000.0;20.63;39.18;;;50325.0;15.97;14.82;;;28451.0;9.03;8.18;;;793293.0;251.77;226.1;139031.0;44.12;43.15;;;43447.0;13.79;23.13;;;270033.0;85.7;76.95;;;-47141.0;-14.96;-1.4;10684.0;3.39;0.1;-36457.0;-11.57;-1.3;346110.0;109.85;68.77;;;;;;;;;;;;;;;;306067.0;97.14;246.88;;;49794.0;15.8;29.17;;;;;;;;;;;;;;;;;;;;;56.81;58.7;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2015;072;REG AQUITAINE;3285970;1305674.0;397.35;397.87;198861.0;60.52;62.78;18.38;18.07;451385.0;137.37;144.56;41.71;41.61;221852.0;20.5;19.47;233768.0;71.14;80.54;21.6;23.18;1035557.0;315.14;347.34;148278.0;45.12;49.46;19.31;17.87;74259.0;22.6;32.38;9.67;11.7;187918.0;57.19;66.84;24.47;24.14;288142.0;87.69;97.49;37.52;35.22;18262.0;5.56;9.03;2.38;3.26;270117.0;82.2;50.54;1078473.0;328.21;241.85;220000.0;66.95;49.58;20.4;20.5;60873.0;18.53;16.63;5.64;6.88;29435.0;8.96;6.21;2.73;2.57;1088498.0;331.26;231.66;200706.0;61.08;36.98;18.44;15.96;108006.0;32.87;23.79;9.92;10.27;359250.0;109.33;83.31;33.0;35.96;10025.0;3.05;-10.19;-17805.0;-5.42;0.36;-7779.0;-2.37;-9.83;277896.0;84.57;60.37;329439.0;100.26;77.11;30.45;22.19;314194.0;95.62;70.59;29.04;20.32;206187.0;62.75;46.8;19.05;13.47;808123.0;245.93;333.52;73.61;93.98;125846.0;38.3;30.74;11.63;8.85;38837.0;11.82;16.96;80.0;0.02;0.04;168477.0;51.27;53.43;30484.0;9.28;10.21;0.0;0.0;0.0;0.0;0.0;0.0;67.51;67.64;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
