exer;reg;lbudg;mpoid_bp;tpf;ftpf;mtpf;imd;fimd;mimd;rimd;rmimd;imt;fimt;mimt;rimt;rmimt;tip;rtdp;rmtdp;dgf;fdgf;mdgf;rdgf;rmdgf;tcf;ftcf;mtcf;chp;fchp;mchp;rchp;rmchp;ace;face;mace;race;rmace;sub;fsub;msub;rsuc;rmsuc;cop;fcop;mcop;rcoo;rmcoo;chf;fchf;mchf;rchf;rmchf;rec;frec;mrec;tri;ftri;mtri;emp;femp;memp;remp;rmemp;sir;fsir;msir;rsir;rmsir;fct;ffct;mfct;rfct;rmfct;tib;ftib;mtib;ded;fded;mded;rded;rmded;rce;frce;mrce;rrce;rmrce;sev;fsev;msev;rsev;rmsev;bfr;fbfr;mbfr;soc;fsoc;msoc;bfi;fbfi;mbfi;res;fres;mres;ebf;febf;mebf;rebf;rmebf;caf;fcaf;mcaf;rcaf;rmcaf;cnr;fcnr;mcnr;rcnr;rmcnr;dba;fdba;mdba;rdbafr;mrdbafr;adb;fadb;madb;radb;rmadb;fdr;ffdr;mfdr;cvaeexor;fcvaeexor;mcvaeexor;cvaer;fcvaer;mcvaer;iferr;fiferr;miferr;tasafbr;ftasafbr;mtasafbr;tasacfer;ftasacfer;mtasacfer;ftip;mtip;strate;erc;ferc;merc;rerc;rmerc;f2rpfr;ff2rpfr;strf2rpfr;f2rcfr;ff2rcfr;strf2rcfr;f1rdba;ff1rbda;strf1rbda;retdr;mretdr
2014;074;REG LIMOUSIN;741072;404974.0;546.47;390.63;36341.0;49.04;62.18;14.88;18.01;124016.0;167.35;126.42;34.78;36.61;79867.0;22.4;18.71;113476.0;153.12;87.94;31.83;25.47;364049.0;491.25;336.96;57638.0;77.78;48.51;18.51;17.89;42489.0;57.34;32.33;13.65;11.92;75574.0;101.98;62.53;24.28;23.06;90858.0;122.6;96.63;29.18;35.63;9885.0;13.34;8.75;3.18;3.23;40925.0;55.22;53.67;208628.0;281.52;244.78;20000.0;26.99;49.06;9.59;20.04;9656.0;13.03;15.5;4.63;6.33;5194.0;7.01;6.62;2.49;2.7;208736.0;281.67;237.52;32930.0;44.44;36.98;15.78;15.57;18708.0;25.24;26.31;8.96;11.08;56180.0;75.81;86.07;26.91;36.24;107.0;0.14;-7.27;0.0;0.0;0.79;107.0;0.14;-6.48;40818.0;55.08;60.15;53834.0;72.64;82.78;15.1;23.97;45227.0;61.03;74.1;12.68;21.46;26519.0;35.78;47.79;7.44;13.84;246334.0;332.4;307.68;0.0;0.0;27530.0;37.15;34.93;7.72;10.12;23415.0;31.6;15.06;109.0;0.15;0.05;28017.0;37.81;52.22;8351.0;11.27;10.23;;;;;;;107.77;64.6;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2013;074;REG LIMOUSIN;742771;402724.0;542.19;387.67;36936.0;49.73;62.92;14.91;18.09;112435.0;151.37;107.38;31.24;30.87;80328.0;22.32;18.27;118301.0;159.27;91.16;32.87;26.21;342985.0;461.76;328.07;55310.0;74.46;46.94;18.55;17.59;40391.0;54.38;31.92;13.55;11.96;65433.0;88.09;62.71;21.95;23.5;97622.0;131.43;97.14;32.74;36.4;10018.0;13.49;8.44;3.36;3.16;59739.0;80.43;59.59;155689.0;209.61;227.9;10000.0;13.46;36.98;6.42;16.23;9054.0;12.19;15.07;5.82;6.61;3834.0;5.16;6.84;2.46;3.0;173621.0;233.75;231.35;31523.0;42.44;37.51;18.16;16.21;15443.0;20.79;25.59;8.89;11.06;58329.0;78.53;82.39;33.6;35.61;17932.0;24.14;3.45;-6106.0;-8.22;1.18;11826.0;15.92;4.64;47912.0;64.5;54.95;72790.0;98.0;87.72;20.23;25.22;61715.0;83.09;81.0;17.15;23.29;46272.0;62.3;55.41;12.86;15.93;245043.0;329.9;284.52;0.0;0.0;24466.0;32.94;34.86;6.8;10.02;48232.0;64.93;16.96;149.0;0.2;0.06;28474.0;38.34;52.55;8331.0;11.22;10.3;;;;;;;108.15;63.57;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2012;074;REG LIMOUSIN;741785;403207.0;543.56;383.25;35780.0;48.24;60.37;;;112365.0;151.48;108.21;;;79785.0;;;120394.0;162.3;91.35;;;336582.0;453.75;318.43;53838.0;72.58;46.01;;;37294.0;50.28;30.56;;;65244.0;87.96;65.53;;;88961.0;119.93;93.82;;;10622.0;14.32;8.07;;;66625.0;89.82;64.82;234357.0;315.94;230.91;33276.0;44.86;38.3;;;11995.0;16.17;14.59;;;5190.0;7.0;6.49;;;249148.0;335.88;226.91;5567.0;7.5;40.04;;;28120.0;37.91;24.99;;;95164.0;128.29;74.3;;;14791.0;19.94;-4.0;0.0;0.0;1.37;14791.0;19.94;-2.63;51834.0;69.88;67.45;;;;;;;;;;;;;;;;250486.0;337.68;273.45;;;37090.0;50.0;31.81;;;;;;108.0;0.15;0.07;27369.0;36.9;49.68;8211.0;11.07;10.16;;;;;;;107.56;63.38;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2011;074;REG LIMOUSIN;740743;367680.0;496.37;375.62;34791.0;46.97;59.46;;;109546.0;147.89;106.93;;;79794.0;;;120394.0;162.53;91.82;;;317449.0;428.56;309.64;53267.0;71.91;44.98;;;37339.0;50.41;29.34;;;66100.0;89.23;66.36;;;101139.0;136.54;93.35;;;9202.0;12.42;7.85;;;50231.0;67.81;65.97;172726.0;233.18;227.94;30607.0;41.32;34.2;;;10412.0;14.06;14.81;;;5882.0;7.94;7.28;;;167654.0;226.33;222.17;31827.0;42.97;40.42;;;17554.0;23.7;21.54;;;50363.0;67.99;75.18;;;-5071.0;-6.85;-5.77;25.0;0.03;0.38;-5046.0;-6.81;-5.39;55278.0;74.62;71.36;;;;;;;;;;;;;;;;245330.0;331.19;259.54;;;25698.0;34.69;28.17;;;;;;116.0;0.16;0.06;26476.0;35.74;48.31;8246.0;11.13;10.18;;;;;;;107.72;63.15;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2008;074;REG LIMOUSIN;710939;327725.0;460.97;360.14;62784.0;88.31;83.0;;;95614.0;134.49;101.23;;;67212.0;;;113487.0;159.63;94.21;;;280795.0;394.96;281.34;44771.0;62.97;40.22;;;14571.0;20.5;23.95;;;63588.0;89.44;69.89;;;125767.0;176.9;91.27;;;7649.0;10.76;8.9;;;46930.0;66.01;78.8;312595.0;439.69;242.71;77730.0;109.33;48.73;;;13264.0;18.66;13.71;;;3842.0;5.4;7.31;;;288805.0;406.23;242.06;151566.0;213.19;50.58;;;28614.0;40.25;27.55;;;70295.0;98.88;85.97;;;-23790.0;-33.46;-0.66;76.0;0.11;0.73;-23714.0;-33.36;0.07;70644.0;99.37;78.73;;;;;;;;;;;;;;;;206282.0;290.15;219.24;;;35936.0;50.55;35.36;;;;;;;;;;;;;;;;;;;;;94.54;57.57;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2009;074;REG LIMOUSIN;730920;337878.0;462.26;355.89;67600.0;92.49;86.15;;;102876.0;140.75;99.92;;;72557.0;;;116886.0;159.92;92.4;;;296340.0;405.43;288.89;50476.0;69.06;42.85;;;17803.0;24.36;23.97;;;62434.0;85.42;68.23;;;123568.0;169.06;92.5;;;8633.0;11.81;6.94;;;41537.0;56.83;67.0;159093.0;217.66;258.6;50667.0;69.32;55.17;;;8131.0;11.12;14.56;;;11849.0;16.21;14.5;;;169779.0;232.28;250.02;32212.0;44.07;49.08;;;28591.0;39.12;31.75;;;66814.0;91.41;86.74;;;10686.0;14.62;-8.58;2107.0;2.88;1.5;12793.0;17.5;-7.08;28744.0;39.33;74.08;;;;;;;;;;;;;;;;228358.0;312.43;232.39;;;35740.0;48.9;38.11;;;;;;;;;;;;;;;;;;;;;99.27;58.82;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2010;074;REG LIMOUSIN;737001;353137.0;479.15;367.02;68354.0;92.75;88.9;;;102657.0;139.29;99.64;;;72101.0;;;117721.0;159.73;92.38;;;306962.0;416.5;299.55;51802.0;70.29;44.18;;;25647.0;34.8;26.54;;;64258.0;87.19;67.46;;;113304.0;153.74;91.75;;;9339.0;12.67;7.15;;;46175.0;62.65;67.47;148244.0;201.14;227.5;20750.0;28.15;39.18;;;12800.0;17.37;14.82;;;5938.0;8.06;8.18;;;143641.0;194.9;226.1;42415.0;57.55;43.15;;;16831.0;22.84;23.13;;;53916.0;73.16;76.95;;;-4603.0;-6.25;-1.4;3470.0;4.71;0.1;-1134.0;-1.54;-1.3;47309.0;64.19;68.77;;;;;;;;;;;;;;;;232277.0;315.16;246.88;;;24480.0;33.22;29.17;;;;;;;;;;;;;;;;;;;;;97.83;58.7;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2015;074;REG LIMOUSIN;738633;418640.0;566.78;397.87;37463.0;50.72;62.78;10.32;18.07;143305.0;194.01;144.56;39.46;41.61;87109.0;23.99;19.47;104675.0;141.71;80.54;28.83;23.18;380682.0;515.39;347.34;59332.0;80.33;49.46;18.15;17.87;39262.0;53.16;32.38;12.01;11.7;80722.0;109.29;66.84;24.69;24.14;90459.0;122.47;97.49;27.67;35.22;22374.0;30.29;9.03;6.84;3.26;37958.0;51.39;50.54;226346.0;306.44;241.85;45350.0;61.4;49.58;20.04;20.5;39172.0;53.03;16.63;17.31;6.88;5484.0;7.42;6.21;2.42;2.57;215568.0;291.85;231.66;27932.0;37.82;36.98;12.96;15.96;18620.0;25.21;23.79;8.64;10.27;94204.0;127.54;83.31;43.7;35.96;-10778.0;-14.59;-10.19;0.0;0.0;0.36;-10778.0;-14.59;-9.83;48736.0;65.98;60.37;47811.0;64.73;77.11;13.17;22.19;36212.0;49.03;70.59;9.97;20.32;17593.0;23.82;46.8;4.84;13.47;275785.0;373.37;333.52;75.2;93.98;27416.0;37.12;30.74;7.55;8.85;1876.0;2.54;16.96;87.0;0.12;0.04;29112.0;39.41;53.43;8378.0;11.34;10.21;0.0;0.0;0.0;0.0;0.0;0.0;117.93;67.64;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
