exer;reg;lbudg;mpoid_bp;tpf;ftpf;mtpf;imd;fimd;mimd;rimd;rmimd;imt;fimt;mimt;rimt;rmimt;tip;rtdp;rmtdp;dgf;fdgf;mdgf;rdgf;rmdgf;tcf;ftcf;mtcf;chp;fchp;mchp;rchp;rmchp;ace;face;mace;race;rmace;sub;fsub;msub;rsuc;rmsuc;cop;fcop;mcop;rcoo;rmcoo;chf;fchf;mchf;rchf;rmchf;rec;frec;mrec;tri;ftri;mtri;emp;femp;memp;remp;rmemp;sir;fsir;msir;rsir;rmsir;fct;ffct;mfct;rfct;rmfct;tib;ftib;mtib;ded;fded;mded;rded;rmded;rce;frce;mrce;rrce;rmrce;sev;fsev;msev;rsev;rmsev;bfr;fbfr;mbfr;soc;fsoc;msoc;bfi;fbfi;mbfi;res;fres;mres;ebf;febf;mebf;rebf;rmebf;caf;fcaf;mcaf;rcaf;rmcaf;cnr;fcnr;mcnr;rcnr;rmcnr;dba;fdba;mdba;rdbafr;mrdbafr;adb;fadb;madb;radb;rmadb;fdr;ffdr;mfdr;cvaeexor;fcvaeexor;mcvaeexor;cvaer;fcvaer;mcvaer;iferr;fiferr;miferr;tasafbr;ftasafbr;mtasafbr;tasacfer;ftasacfer;mtasacfer;ftip;mtip;strate;erc;ferc;merc;rerc;rmerc;f2rpfr;ff2rpfr;strf2rpfr;f2rcfr;ff2rcfr;strf2rcfr;f1rdba;ff1rbda;strf1rbda;retdr;mretdr
2014;082;REG RHONE-ALPES;6283541;2483608.0;395.26;390.63;485056.0;77.19;62.18;24.53;18.01;743474.0;118.32;126.42;36.44;36.61;384363.0;18.84;18.71;565540.0;90.0;87.94;27.72;25.47;2140504.0;340.65;336.96;248103.0;39.48;48.51;14.79;17.89;146441.0;23.31;32.33;8.73;11.92;407899.0;64.92;62.53;24.31;23.06;682042.0;108.54;96.63;40.65;35.63;56309.0;8.96;8.75;3.36;3.23;343104.0;54.6;53.67;1278783.0;203.51;244.78;269300.0;42.86;49.06;21.06;20.04;56575.0;9.0;15.5;4.42;6.33;32152.0;5.12;6.62;2.51;2.7;1441950.0;229.48;237.52;168031.0;26.74;36.98;11.65;15.57;160258.0;25.5;26.31;11.11;11.08;405576.0;64.55;86.07;28.13;36.24;163167.0;25.97;-7.27;615.0;0.1;0.79;163782.0;26.07;-6.48;179322.0;28.54;60.15;404801.0;64.42;82.78;19.84;23.97;362194.0;57.64;74.1;17.75;21.46;201936.0;32.14;47.79;9.9;13.84;1775233.0;282.52;307.68;0.0;0.0;200168.0;31.86;34.93;9.81;10.12;21379.0;3.4;15.06;285.0;0.05;0.05;419513.0;66.76;52.22;68864.0;10.96;10.23;;;;;;;61.17;64.6;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2013;082;REG RHONE-ALPES;6230691;2263626.0;363.3;387.67;481840.0;77.33;62.92;25.01;18.09;598699.0;96.09;107.38;29.81;30.87;320124.0;15.94;18.27;581503.0;93.33;91.16;28.96;26.21;2077994.0;333.51;328.07;233599.0;37.49;46.94;14.26;17.59;149045.0;23.92;31.92;9.1;11.96;397874.0;63.86;62.71;24.29;23.5;667014.0;107.05;97.14;40.72;36.4;53272.0;8.55;8.44;3.25;3.16;185632.0;29.79;59.59;1213400.0;194.75;227.9;217304.0;34.88;36.98;17.91;16.23;56360.0;9.05;15.07;4.64;6.61;36793.0;5.91;6.84;3.03;3.0;1185309.0;190.24;231.35;170139.0;27.31;37.51;14.35;16.21;114673.0;18.4;25.59;9.67;11.06;403492.0;64.76;82.39;34.04;35.61;-28091.0;-4.51;3.45;25.0;0.0;1.18;-28066.0;-4.5;4.64;213698.0;34.3;54.95;414943.0;66.6;87.72;20.66;25.22;370263.0;59.43;81.0;18.44;23.29;255590.0;41.02;55.41;12.73;15.93;1666191.0;267.42;284.52;0.0;0.0;151552.0;24.32;34.86;7.55;10.02;24047.0;3.86;16.96;394.0;0.06;0.06;418998.0;67.25;52.55;69452.0;11.15;10.3;;;;;;;51.38;63.57;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2012;082;REG RHONE-ALPES;6174040;2230010.0;361.19;383.25;465916.0;75.46;60.37;;;606373.0;98.21;108.21;;;318071.0;;;581503.0;94.19;91.35;;;2019805.0;327.14;318.43;231311.0;37.47;46.01;;;138001.0;22.35;30.56;;;387188.0;62.71;65.53;;;662978.0;107.38;93.82;;;49871.0;8.08;8.07;;;210205.0;34.05;64.82;1317611.0;213.41;230.91;198119.0;32.09;38.3;;;53884.0;8.73;14.59;;;36450.0;5.9;6.49;;;1257237.0;203.63;226.91;192576.0;31.19;40.04;;;104014.0;16.85;24.99;;;382553.0;61.96;74.3;;;-60375.0;-9.78;-4.0;0.0;0.0;1.37;-60375.0;-9.78;-2.63;270580.0;43.83;67.45;;;;;;;;;;;;;;;;1563560.0;253.25;273.45;;;143113.0;23.18;31.81;;;;;;311.0;0.05;0.07;396742.0;64.26;49.68;67552.0;10.94;10.16;;;;;;;51.52;63.38;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2011;082;REG RHONE-ALPES;6117229;2201599.0;359.9;375.62;453363.0;74.11;59.46;;;593325.0;96.99;106.93;;;316398.0;;;581503.0;95.06;91.82;;;1935858.0;316.46;309.64;226583.0;37.04;44.98;;;125097.0;20.45;29.34;;;358516.0;58.61;66.36;;;644915.0;105.43;93.35;;;46157.0;7.55;7.85;;;265741.0;43.44;65.97;1221016.0;199.6;227.94;131619.0;21.52;34.2;;;56794.0;9.28;14.81;;;50264.0;8.22;7.28;;;1219568.0;199.37;222.17;199740.0;32.65;40.42;;;109279.0;17.86;21.54;;;369647.0;60.43;75.18;;;-1448.0;-0.24;-5.77;0.0;0.0;0.38;-1448.0;-0.24;-5.39;267189.0;43.68;71.36;;;;;;;;;;;;;;;;1469455.0;240.22;259.54;;;146883.0;24.01;28.17;;;;;;423.0;0.07;0.06;380404.0;62.19;48.31;67976.0;11.11;10.18;;;;;;;51.72;63.15;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2008;082;REG RHONE-ALPES;5645407;2046289.0;362.47;360.14;434901.0;77.04;83.0;;;595366.0;105.46;101.23;;;309778.0;;;569711.0;100.92;94.21;;;1728437.0;306.17;281.34;197112.0;34.92;40.22;;;108574.0;19.23;23.95;;;229031.0;40.57;69.89;;;726284.0;128.65;91.27;;;51554.0;9.13;8.9;;;317852.0;56.3;78.8;1358370.0;240.62;242.71;191903.0;33.99;48.73;;;46784.0;8.29;13.71;;;42090.0;7.46;7.31;;;1377551.0;244.01;242.06;275015.0;48.71;50.58;;;105741.0;18.73;27.55;;;384375.0;68.09;85.97;;;19180.0;3.4;-0.66;0.0;0.0;0.73;19180.0;3.4;0.07;298672.0;52.91;78.73;;;;;;;;;;;;;;;;1221424.0;216.36;219.24;;;152016.0;26.93;35.36;;;;;;;;;;;;;;;;;;;;;54.87;57.57;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2009;082;REG RHONE-ALPES;6021346;2112303.0;350.8;355.89;458338.0;76.12;86.15;;;603914.0;100.3;99.92;;;322847.0;;;579282.0;96.2;92.4;;;1826918.0;303.41;288.89;215311.0;35.76;42.85;;;109375.0;18.16;23.97;;;242120.0;40.21;68.23;;;756300.0;125.6;92.5;;;38433.0;6.38;6.94;;;285385.0;47.4;67.0;1525358.0;253.33;258.6;277025.0;46.01;55.17;;;46264.0;7.68;14.56;;;96878.0;16.09;14.5;;;1500421.0;249.18;250.02;298783.0;49.62;49.08;;;141229.0;23.45;31.75;;;455273.0;75.61;86.74;;;-24936.0;-4.14;-8.58;0.0;0.0;1.5;-24936.0;-4.14;-7.08;310322.0;51.54;74.08;;;;;;;;;;;;;;;;1357158.0;225.39;232.39;;;176171.0;29.26;38.11;;;;;;;;;;;;;;;;;;;;;53.62;58.82;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2010;082;REG RHONE-ALPES;6065959;2147181.0;353.97;367.02;475545.0;78.4;88.9;;;604264.0;99.62;99.64;;;323494.0;;;582202.0;95.98;92.38;;;1871421.0;308.51;299.55;220437.0;36.34;44.18;;;112586.0;18.56;26.54;;;245046.0;40.4;67.46;;;741953.0;122.31;91.75;;;42766.0;7.05;7.15;;;275760.0;45.46;67.47;1417384.0;233.66;227.5;220798.0;36.4;39.18;;;55620.0;9.17;14.82;;;55206.0;9.1;8.18;;;1404595.0;231.55;226.1;240281.0;39.61;43.15;;;130841.0;21.57;23.13;;;410047.0;67.6;76.95;;;-12789.0;-2.11;-1.4;0.0;0.0;0.1;-12789.0;-2.11;-1.3;288549.0;47.57;68.77;;;;;;;;;;;;;;;;1447115.0;238.56;246.88;;;164756.0;27.16;29.17;;;;;;;;;;;;;;;;;;;;;53.33;58.7;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2015;082;REG RHONE-ALPES;6341160;2465829.0;388.86;397.87;490257.0;77.31;62.78;23.87;18.07;866063.0;136.58;144.56;42.16;41.61;407917.0;19.86;19.47;525755.0;82.91;80.54;25.59;23.18;2190043.0;345.37;347.34;254753.0;40.17;49.46;15.02;17.87;149143.0;23.52;32.38;8.79;11.7;405465.0;63.94;66.84;23.91;24.14;678287.0;106.97;97.49;40.0;35.22;60571.0;9.55;9.03;3.57;3.26;275785.0;43.49;50.54;1490219.0;235.01;241.85;249621.0;39.37;49.58;16.75;20.5;51616.0;8.14;16.63;3.46;6.88;29405.0;4.64;6.21;1.97;2.57;1418535.0;223.7;231.66;167487.0;26.41;36.98;11.81;15.96;169536.0;26.74;23.79;11.95;10.27;357817.0;56.43;83.31;25.22;35.96;-71684.0;-11.3;-10.19;585.0;0.09;0.36;-71099.0;-11.21;-9.83;346885.0;54.7;60.37;399329.0;62.97;77.11;19.44;22.19;358308.0;56.51;70.59;17.44;20.32;188772.0;29.77;46.8;9.19;13.47;1869493.0;294.82;333.52;90.32;93.98;208258.0;32.84;30.74;10.14;8.85;18110.0;2.86;16.96;212.0;0.03;0.04;433525.0;68.37;53.43;69796.0;11.01;10.21;0.0;0.0;0.0;0.0;0.0;0.0;64.33;67.64;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
