exer;reg;lbudg;mpoid_bp;tpf;ftpf;mtpf;imd;fimd;mimd;rimd;rmimd;imt;fimt;mimt;rimt;rmimt;tip;rtdp;rmtdp;dgf;fdgf;mdgf;rdgf;rmdgf;tcf;ftcf;mtcf;chp;fchp;mchp;rchp;rmchp;ace;face;mace;race;rmace;sub;fsub;msub;rsuc;rmsuc;cop;fcop;mcop;rcoo;rmcoo;chf;fchf;mchf;rchf;rmchf;rec;frec;mrec;tri;ftri;mtri;emp;femp;memp;remp;rmemp;sir;fsir;msir;rsir;rmsir;fct;ffct;mfct;rfct;rmfct;tib;ftib;mtib;ded;fded;mded;rded;rmded;rce;frce;mrce;rrce;rmrce;sev;fsev;msev;rsev;rmsev;bfr;fbfr;mbfr;soc;fsoc;msoc;bfi;fbfi;mbfi;res;fres;mres;ebf;febf;mebf;rebf;rmebf;caf;fcaf;mcaf;rcaf;rmcaf;cnr;fcnr;mcnr;rcnr;rmcnr;dba;fdba;mdba;rdbafr;mrdbafr;adb;fadb;madb;radb;rmadb;fdr;ffdr;mfdr;cvaeexor;fcvaeexor;mcvaeexor;cvaer;fcvaer;mcvaer;iferr;fiferr;miferr;tasafbr;ftasafbr;mtasafbr;tasacfer;ftasacfer;mtasacfer;ftip;mtip;strate;erc;ferc;merc;rerc;rmerc;f2rpfr;ff2rpfr;strf2rpfr;f2rcfr;ff2rcfr;strf2rcfr;f1rdba;ff1rbda;strf1rbda;retdr;mretdr
2014;104;REG REUNION;828581;653104.0;788.22;712.83;24866.0;30.01;30.38;5.01;4.71;298738.0;360.54;372.82;54.0;57.76;0.0;0.0;0.0;26570.0;32.07;35.72;4.8;5.53;474545.0;572.72;565.97;115378.0;139.25;133.04;29.39;27.52;39226.0;47.34;74.71;9.99;15.45;143413.0;173.08;146.65;36.53;30.33;25251.0;30.48;60.24;6.43;12.46;9172.0;11.07;13.29;2.34;2.75;178559.0;215.5;146.87;502801.0;606.82;504.9;90588.0;109.33;101.33;18.02;20.07;85311.0;102.96;125.92;16.97;24.94;16369.0;19.76;25.09;3.26;4.97;647133.0;781.01;602.97;337977.0;407.9;324.06;52.23;53.74;48131.0;58.09;47.16;7.44;7.82;98427.0;118.79;127.33;15.21;21.12;144332.0;174.19;98.07;5460.0;6.59;2.93;149792.0;180.78;101.0;28767.0;34.72;45.86;166557.0;201.01;175.18;30.11;27.14;160562.0;193.78;162.0;29.02;25.1;112431.0;135.69;114.84;20.32;17.79;351197.0;423.85;492.28;0.0;0.0;56297.0;67.94;59.91;10.18;9.28;34487.0;41.62;53.65;0.0;0.0;0.0;24560.0;29.64;27.54;3559.0;4.3;5.18;;;;;;;0.0;0.01;Régions d Outre-mer;;;;;;;;;;;;;;;;
2013;104;REG REUNION;821136;605453.0;737.34;743.12;25141.0;30.62;29.76;5.39;4.65;267715.0;326.03;354.15;51.62;55.3;0.0;0.0;0.0;28349.0;34.52;38.49;5.47;6.01;430329.0;524.07;603.28;104964.0;127.83;125.91;28.46;25.27;42059.0;51.22;71.71;11.4;14.39;144947.0;176.52;163.69;39.3;32.85;20231.0;24.64;59.83;5.49;12.01;9877.0;12.03;14.43;2.68;2.9;175124.0;213.27;139.84;500105.0;609.04;537.35;98824.0;120.35;96.78;19.76;18.01;137214.0;167.1;146.54;27.44;27.27;22384.0;27.26;29.02;4.48;5.4;502351.0;611.78;554.29;175732.0;214.01;214.21;34.98;38.65;118699.0;144.56;82.95;23.63;14.97;96840.0;117.93;140.36;19.28;25.32;2246.0;2.73;16.94;47.0;0.06;0.03;2293.0;2.79;16.96;172831.0;210.48;122.88;160888.0;195.93;154.19;31.02;24.07;149877.0;182.52;142.16;28.9;22.2;31178.0;37.97;59.21;6.01;9.24;308491.0;375.69;441.62;0.0;0.0;127669.0;155.48;96.88;24.61;15.13;160694.0;195.7;134.71;0.0;0.0;0.0;24651.0;30.02;27.31;3573.0;4.35;5.25;;;;;;;0.0;0.0;Régions d Outre-mer;;;;;;;;;;;;;;;;
2017;104;REG REUNION;842767;735920.0;873.22;837.89;59900.0;71.08;74.87;9.9;10.39;338087.0;401.16;395.72;55.9;54.94;0.0;0.0;0.0;14865.0;17.64;18.64;2.46;2.59;583474.0;692.33;690.96;145381.0;172.5;164.67;31.18;30.18;41409.0;49.13;65.48;8.88;12.0;159047.0;188.72;183.41;34.11;33.61;25062.0;29.74;37.65;5.38;6.9;16473.0;19.55;20.72;3.53;3.8;152447.0;180.89;146.93;772923.0;917.13;724.83;239000.0;283.59;192.28;30.92;26.53;255448.0;303.11;239.05;33.05;32.98;59666.0;70.8;61.73;7.72;8.52;769911.0;913.55;759.06;452083.0;536.43;422.78;58.72;55.7;35896.0;42.59;51.37;4.66;6.77;90891.0;107.85;117.99;11.81;15.54;-3012.0;-3.57;34.23;-766.0;-0.91;-0.62;-3778.0;-4.48;33.61;156225.0;185.37;113.32;157676.0;187.09;194.11;26.07;26.95;138573.0;164.43;174.64;22.91;24.24;102677.0;121.83;123.28;16.98;17.11;1028442.0;1220.32;1042.58;170.04;144.74;50637.0;60.08;68.22;8.37;9.47;85570.0;101.53;77.57;10.0;0.01;0.01;56044.0;66.5;66.15;3536.0;4.2;4.91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Régions d Outre-mer;1028426.0;1220.3;1042.57;170.04;144.74;604828.0;717.67;720.33;466255.0;553.24;545.69;1028426.0;1220.3;1042.57;170.04;144.74
2018;104;REG REUNION;850727;731051.0;859.33;836.15;63639.0;74.8;78.74;10.82;11.15;369938.0;434.85;434.07;62.89;61.48;17742.0;3.02;2.69;0.0;0.0;0.0;0.0;0.0;594511.0;698.83;723.49;150874.0;177.35;175.95;32.31;31.36;49491.0;58.17;75.23;10.6;13.41;134301.0;157.87;168.22;28.76;29.98;23608.0;27.75;39.08;5.06;6.96;20676.0;24.3;21.61;4.43;3.85;136540.0;160.5;112.66;719964.0;846.29;797.48;198531.0;233.37;207.04;27.58;25.96;177613.0;208.78;206.56;24.67;25.9;49428.0;58.1;46.42;6.87;5.82;738341.0;867.89;763.12;452163.0;531.5;436.27;61.24;57.17;37353.0;43.91;48.9;5.06;6.41;88323.0;103.82;135.21;11.96;17.72;18377.0;21.6;-34.36;1302.0;1.53;1.04;19679.0;23.13;-33.32;116861.0;137.37;145.98;139278.0;163.72;164.85;23.68;23.35;121279.0;142.56;144.87;20.62;20.52;83926.0;98.65;95.97;14.27;13.59;1189621.0;1398.36;1195.9;202.24;169.38;56510.0;66.43;69.0;9.61;9.77;64624.0;75.96;69.87;11.0;0.01;0.01;58707.0;69.01;67.48;3448.0;4.05;4.76;0.0;0.0;0.0;0.0;0.0;0.0;20.85;18.97;Régions d Outre-mer;1189604.0;1398.34;1195.89;202.24;169.38;588223.0;691.44;706.03;466945.0;548.88;561.16;1189604.0;1398.34;1195.89;202.24;169.38
2016;104;REG REUNION;835103;628207.0;752.25;750.43;27059.0;32.4;33.27;5.35;5.23;323894.0;387.85;390.97;64.09;61.51;0.0;0.0;0.0;18703.0;22.4;23.4;3.7;3.68;527437.0;631.58;654.09;135616.0;162.39;152.64;32.8;29.98;34345.0;41.13;60.85;8.31;11.95;134979.0;161.63;170.2;32.65;33.43;25801.0;30.9;38.42;6.24;7.55;11251.0;13.47;14.83;2.72;2.91;100770.0;120.67;96.34;1019204.0;1220.45;960.65;331118.0;396.5;275.71;32.49;28.7;131260.0;157.18;162.13;12.88;16.88;49155.0;58.86;54.45;4.82;5.67;871835.0;1043.99;839.2;419292.0;502.08;396.3;48.09;47.22;71462.0;85.57;78.6;8.2;9.37;81738.0;97.88;105.98;9.38;12.63;-147368.0;-176.47;-121.45;-844.0;-1.01;-0.68;-148213.0;-177.48;-122.13;248983.0;298.15;218.47;102844.0;123.15;141.49;20.35;22.26;91969.0;110.13;126.54;18.2;19.91;20507.0;24.56;47.94;4.06;7.54;825348.0;988.32;905.84;163.31;142.51;80759.0;96.71;91.85;15.98;14.45;29005.0;34.73;48.3;1.0;0.0;0.0;26919.0;32.23;31.87;3553.0;4.25;4.95;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Régions d Outre-mer;825322.0;988.29;905.82;8.97;142.51;;;;;;;;;;;
2012;104;REG REUNION;816364;586874.0;718.89;652.37;22985.0;28.16;28.59;;;269637.0;330.29;341.94;;;0.0;;;28230.0;34.58;38.46;;;416598.0;510.31;515.11;91906.0;112.58;113.93;;;36450.0;44.65;61.45;;;138641.0;169.83;136.12;;;21367.0;26.17;63.24;;;11370.0;13.93;13.83;;;170276.0;208.58;137.26;773551.0;947.56;697.09;291529.0;357.11;219.77;;;111099.0;136.09;131.9;;;18277.0;22.39;22.99;;;817699.0;1001.63;694.6;181369.0;222.17;212.61;;;311386.0;381.43;186.5;;;77336.0;94.73;126.99;;;44147.0;54.08;-2.49;2286.0;2.8;1.24;46433.0;56.88;-1.25;123843.0;151.7;138.51;;;;;;;;;;;;;;;;328375.0;402.24;430.49;;;321845.0;394.24;199.83;;;;;;1.0;0.0;0.0;22492.0;27.55;25.78;3413.0;4.18;5.08;;;;;;;0.0;0.0;Régions d Outre-mer;;;;;;;;;;;;;;;;
2011;104;REG REUNION;808250;506212.0;626.31;611.6;25394.0;31.42;30.14;;;261985.0;324.14;348.97;;;0.0;;;28230.0;34.93;38.71;;;367118.0;454.21;480.71;76450.0;94.59;100.86;;;30313.0;37.5;55.16;;;130449.0;161.4;134.12;;;21612.0;26.74;64.85;;;12479.0;15.44;12.54;;;139094.0;172.09;130.89;1651439.0;2043.23;1111.72;115294.0;142.65;79.53;;;1252867.0;1550.1;743.76;;;18283.0;22.62;23.06;;;1669721.0;2065.85;1140.6;180602.0;223.45;214.94;;;135679.0;167.87;90.74;;;81370.0;100.67;129.47;;;18282.0;22.62;28.88;807.0;1.0;0.44;19089.0;23.62;29.33;120005.0;148.47;101.56;;;;;;;;;;;;;;;;350283.0;433.38;401.17;;;148048.0;183.17;103.22;;;;;;0.0;0.0;0.0;21575.0;26.69;24.1;3334.0;4.12;5.01;;;;;;;0.0;0.0;Régions d Outre-mer;;;;;;;;;;;;;;;;
2008;104;REG REUNION;706300;422848.0;598.68;598.2;28717.0;40.66;44.18;;;254848.0;360.82;378.07;;;0.0;;;26055.0;36.89;38.99;;;234583.0;332.13;381.78;31356.0;44.4;61.93;;;25785.0;36.51;56.52;;;94634.0;133.99;111.28;;;22815.0;32.3;63.09;;;13130.0;18.59;15.54;;;188265.0;266.55;216.42;481810.0;682.16;491.19;0.0;0.0;6.0;;;73827.0;104.53;98.4;;;58838.0;83.3;47.98;;;483333.0;684.32;516.69;389486.0;551.45;354.27;;;23493.0;33.26;32.49;;;50313.0;71.23;110.81;;;1524.0;2.16;25.5;351.0;0.5;1.71;1874.0;2.65;27.21;186391.0;263.9;189.21;;;;;;;;;;;;;;;;487680.0;690.47;446.03;;;36440.0;51.59;47.69;;;;;;;;;;;;;;;;;;;;;0.0;0.0;Régions d Outre-mer;;;;;;;;;;;;;;;;
2009;104;REG REUNION;781962;440125.0;562.85;566.53;30979.0;39.62;44.41;;;258537.0;330.63;338.01;;;0.0;;;27994.0;35.8;39.04;;;279019.0;356.82;376.45;57877.0;74.01;82.72;;;27862.0;35.63;53.14;;;102239.0;130.75;100.25;;;22475.0;28.74;55.0;;;13014.0;16.64;11.98;;;161107.0;206.03;190.09;647614.0;828.19;634.81;200000.0;255.77;144.43;;;68074.0;87.06;100.36;;;128675.0;164.55;88.97;;;705900.0;902.73;654.71;309355.0;395.61;335.95;;;143127.0;183.04;96.18;;;46366.0;59.29;100.86;;;58286.0;74.54;19.89;2193.0;2.8;1.23;60479.0;77.34;21.12;100628.0;128.69;168.97;;;;;;;;;;;;;;;;390533.0;499.43;420.35;;;155188.0;198.46;107.62;;;;;;;;;;;;;;;;;;;;;0.0;0.0;Régions d Outre-mer;;;;;;;;;;;;;;;;
2010;104;REG REUNION;794107;466490.0;587.44;586.18;31087.0;39.15;45.68;;;257214.0;323.9;342.63;;;0.0;;;27979.0;35.23;39.03;;;284362.0;358.09;401.89;63983.0;80.57;91.66;;;29083.0;36.62;53.5;;;98016.0;123.43;108.86;;;22570.0;28.42;59.18;;;11962.0;15.06;11.69;;;182128.0;229.35;184.29;588731.0;741.37;549.7;123529.0;155.56;70.08;;;179655.0;226.24;159.98;;;45752.0;57.61;45.88;;;393678.0;495.75;407.92;130717.0;164.61;181.76;;;145451.0;183.16;94.75;;;42527.0;53.55;83.42;;;-195053.0;-245.63;-141.78;5059.0;6.37;2.8;-189994.0;-239.25;-138.98;372122.0;468.6;323.26;;;;;;;;;;;;;;;;368612.0;464.18;405.09;;;157300.0;198.08;106.37;;;;;;;;;;;;;;;;;;;;;0.0;0.0;Régions d Outre-mer;;;;;;;;;;;;;;;;
